client_id,age_id,district_id,sex
C00000090,1,52,Male
C00000091,2,63,Male
C00000092,2,74,Female
C00000093,3,3,Male
C00000094,2,43,Male
C00000095,2,43,Female
C00000096,1,74,Male
C00000097,2,26,Male
C00000098,1,33,Female
C00000099,1,33,Male
C00000100,2,44,Female
C00000101,2,68,Male
C00000102,2,74,Female
C00000103,2,74,Male
C00000105,4,31,Male
C00000106,2,68,Female
C00000107,1,1,Male
C00000108,2,17,Male
C00000110,2,2,Female
C00000112,3,1,Male
C00000113,2,1,Female
C00000114,2,74,Female
C00000115,2,74,Male
C00000116,2,74,Male
C00000117,3,74,Female
C00000118,3,55,Male
C00000119,3,55,Female
C00000120,1,1,Male
C00000121,1,41,Female
C00000122,2,35,Female
C00000123,2,11,Male
C00000124,2,44,Male
C00000125,3,37,Male
C00000126,3,37,Female
C00000127,2,21,Female
C00000128,1,63,Female
C00000129,2,64,Female
C00000130,2,53,Male
C00000131,1,53,Female
C00000132,2,36,Male
C00000134,3,6,Male
C00000135,3,6,Female
C00000136,3,55,Female
C00000137,3,60,Male
C00000138,1,54,Female
C00000139,2,8,Female
C00000140,2,8,Male
C00000141,3,31,Male
C00000142,3,68,Male
C00000143,1,27,Male
C00000144,2,65,Male
C00000145,1,55,Male
C00000146,2,31,Female
C00000147,3,21,Female
C00000148,2,21,Male
C00000149,2,55,Male
C00000150,4,2,Female
C00000151,1,51,Female
C00000152,2,29,Female
C00000153,4,13,Female
C00000154,3,74,Male
C00000155,3,74,Female
C00000156,3,54,Female
C00000157,2,52,Female
C00000158,2,40,Female
C00000159,3,40,Male
C00000160,2,64,Female
C00000161,2,34,Female
C00000162,2,65,Male
C00000163,3,74,Male
C00000164,2,70,Female
C00000165,2,22,Male
C00000166,2,22,Female
C00000167,1,38,Female
C00000168,1,24,Female
C00000169,2,38,Male
C00000170,2,38,Female
C00000171,3,51,Male
C00000172,3,51,Female
C00000173,3,21,Female
C00000174,1,10,Male
C00000175,2,31,Male
C00000176,3,4,Male
C00000178,2,8,Male
C00000179,4,43,Male
C00000180,4,73,Male
C00000181,2,76,Male
C00000182,2,76,Female
C00000183,1,1,Female
C00000184,1,1,Male
C00000185,2,77,Male
C00000186,2,46,Female
C00000187,2,58,Male
C00000188,2,64,Male
C00000189,3,11,Male
C00000190,2,37,Female
C00000191,2,37,Male
C00000192,1,70,Male
C00000193,2,1,Male
C00000194,3,28,Female
C00000195,3,74,Male
C00000196,3,74,Female
C00000197,3,30,Male
C00000198,1,60,Male
C00000199,3,29,Male
C00000200,3,29,Female
C00000201,3,17,Female
C00000202,1,29,Female
C00000203,2,31,Male
C00000204,2,31,Female
C00000205,2,4,Female
C00000206,2,59,Female
C00000207,3,46,Male
C00000208,2,13,Female
C00000209,3,13,Male
C00000210,3,66,Male
C00000211,2,66,Female
C00000212,1,52,Male
C00000215,2,71,Male
C00000216,2,1,Male
C00000217,1,59,Female
C00000218,1,1,Female
C00000219,2,60,Female
C00000221,1,21,Female
C00000222,1,47,Female
C00000223,2,43,Female
C00000224,2,77,Male
C00000225,3,32,Male
C00000226,2,1,Male
C00000227,3,52,Female
C00000228,2,48,Female
C00000229,2,76,Male
C00000230,2,74,Female
C00000231,2,41,Male
C00000232,3,55,Female
C00000233,2,69,Female
C00000234,2,69,Male
C00000235,2,44,Female
C00000236,2,70,Male
C00000237,2,70,Female
C00000238,2,6,Female
C00000239,1,1,Female
C00000240,3,34,Female
C00000241,2,70,Male
C00000242,2,17,Female
C00000243,2,63,Male
C00000246,1,67,Female
C00000247,2,1,Male
C00000248,2,61,Female
C00000249,1,61,Male
C00000250,1,8,Female
C00000251,1,54,Female
C00000252,2,37,Female
C00000253,2,48,Female
C00000254,2,28,Male
C00000255,2,27,Female
C00000256,2,73,Female
C00000257,2,22,Female
C00000258,3,22,Male
C00000259,2,31,Male
C00000260,2,31,Female
C00000261,3,38,Female
C00000262,2,77,Male
C00000263,2,68,Male
C00000264,1,28,Male
C00000265,3,72,Female
C00000266,2,19,Female
C00000267,2,37,Male
C00000268,4,39,Female
C00000269,3,15,Female
C00000270,2,46,Male
C00000271,2,46,Female
C00000272,2,70,Female
C00000273,1,27,Female
C00000274,1,17,Female
C00000275,3,1,Female
C00000276,2,1,Male
C00000277,2,1,Female
C00000278,1,22,Female
C00000279,1,22,Male
C00000280,2,45,Female
C00000282,3,73,Female
C00000283,3,73,Male
C00000284,1,10,Male
C00000285,2,72,Male
C00000286,2,72,Female
C00000287,4,50,Male
C00000288,2,6,Male
C00000289,2,54,Male
C00000290,2,72,Male
C00000291,2,72,Female
C00000292,2,15,Female
C00000293,2,69,Male
C00000294,2,58,Male
C00000295,3,12,Male
C00000296,1,65,Male
C00000297,3,65,Female
C00000298,3,65,Male
C00000300,2,1,Female
C00000301,2,28,Male
C00000302,1,56,Male
C00000303,2,74,Male
C00000304,3,19,Female
C00000305,3,46,Male
C00000308,1,68,Female
C00000309,2,37,Female
C00000310,2,11,Male
C00000311,3,64,Female
C00000312,3,2,Male
C00000313,2,24,Female
C00000314,2,24,Male
C00000315,2,54,Male
C00000316,2,75,Male
C00000317,2,64,Female
C00000318,2,15,Female
C00000319,3,19,Female
C00000320,3,19,Male
C00000321,2,47,Female
C00000322,3,38,Male
C00000323,3,38,Female
C00000324,2,3,Male
C00000325,2,3,Male
C00000326,2,27,Female
C00000327,2,27,Male
C00000328,3,1,Female
C00000329,2,11,Male
C00000330,2,65,Female
C00000331,2,1,Male
C00000332,1,29,Male
C00000333,1,38,Male
C00000334,2,32,Male
C00000335,2,73,Female
C00000336,2,39,Female
C00000337,2,39,Male
C00000338,2,8,Female
C00000339,2,1,Male
C00000340,1,1,Female
C00000341,1,69,Male
C00000342,1,69,Female
C00000343,3,44,Male
C00000344,2,54,Female
C00000345,2,17,Male
C00000346,2,17,Female
C00000347,2,71,Male
C00000348,2,71,Female
C00000349,3,39,Female
C00000350,3,25,Female
C00000351,1,1,Male
C00000352,2,56,Male
C00000353,2,7,Male
C00000354,3,49,Female
C00000355,3,49,Male
C00000356,1,1,Female
C00000357,1,1,Male
C00000358,2,7,Female
C00000359,1,66,Male
C00000360,2,49,Male
C00000361,1,74,Female
C00000362,2,35,Female
C00000363,2,35,Male
C00000364,2,54,Female
C00000365,3,1,Male
C00000366,3,1,Female
C00000367,2,60,Female
C00000368,2,60,Male
C00000369,3,7,Female
C00000370,2,71,Female
C00000371,2,4,Male
C00000372,3,34,Male
C00000373,3,16,Male
C00000374,2,26,Male
C00000375,2,61,Female
C00000376,1,14,Female
C00000378,1,50,Male
C00000379,4,50,Female
C00000380,1,41,Male
C00000381,1,73,Female
C00000382,1,73,Male
C00000383,3,15,Female
C00000384,3,15,Male
C00000385,2,45,Male
C00000386,4,62,Male
C00000387,3,76,Male
C00000388,2,36,Female
C00000389,1,47,Female
C00000390,1,47,Female
C00000391,3,47,Female
C00000392,2,74,Female
C00000393,2,74,Male
C00000394,3,52,Female
C00000395,3,52,Male
C00000396,3,1,Male
C00000397,3,75,Male
C00000398,3,61,Female
C00000399,2,45,Male
C00000400,3,1,Male
C00000401,3,1,Female
C00000402,2,3,Male
C00000403,1,42,Female
C00000404,2,42,Male
C00000405,3,65,Female
C00000406,1,36,Male
C00000407,1,73,Female
C00000408,1,35,Female
C00000409,3,74,Male
C00000410,2,62,Male
C00000411,2,17,Female
C00000412,2,17,Male
C00000413,1,49,Female
C00000414,2,46,Female
C00000415,2,46,Male
C00000416,3,1,Female
C00000417,3,1,Male
C00000418,2,28,Male
C00000419,1,64,Female
C00000420,1,18,Male
C00000421,2,54,Male
C00000422,2,69,Male
C00000423,2,37,Male
C00000424,2,1,Male
C00000425,2,25,Male
C00000426,3,72,Male
C00000427,2,72,Female
C00000428,3,47,Female
C00000429,4,50,Female
C00000430,3,39,Male
C00000431,3,24,Female
C00000432,2,59,Female
C00000433,2,62,Male
C00000434,2,70,Female
C00000435,2,20,Male
C00000436,2,2,Male
C00000437,3,11,Female
C00000438,3,32,Male
C00000439,2,51,Female
C00000440,1,15,Female
C00000441,2,1,Male
C00000442,1,1,Female
C00000443,1,1,Male
C00000444,2,74,Female
C00000445,2,1,Female
C00000446,2,1,Male
C00000447,2,23,Male
C00000448,1,77,Female
C00000450,2,25,Male
C00000451,1,12,Male
C00000452,2,55,Female
C00000453,2,67,Male
C00000454,2,38,Female
C00000455,3,68,Male
C00000456,2,25,Male
C00000457,2,70,Male
C00000458,2,68,Male
C00000459,2,32,Female
C00000461,1,68,Female
C00000462,1,14,Male
C00000463,2,38,Male
C00000464,2,24,Female
C00000465,2,5,Male
C00000466,2,1,Female
C00000467,2,1,Male
C00000468,2,72,Male
C00000469,1,59,Female
C00000470,2,30,Female
C00000471,1,44,Male
C00000472,4,36,Male
C00000473,3,1,Female
C00000474,2,46,Male
C00000476,2,1,Female
C00000477,2,1,Male
C00000478,1,21,Male
C00000479,2,11,Male
C00000480,2,11,Female
C00000481,3,69,Male
C00000482,3,69,Female
C00000483,2,1,Male
C00000484,2,28,Female
C00000485,1,32,Male
C00000486,2,68,Male
C00000487,3,1,Female
C00000488,3,1,Male
C00000489,2,41,Male
C00000490,2,55,Male
C00000491,2,63,Male
C00000492,3,72,Male
C00000493,2,41,Female
C00000494,4,1,Male
C00000495,3,49,Female
C00000496,2,70,Female
C00000497,2,74,Male
C00000498,2,74,Female
C00000499,3,18,Female
C00000500,1,1,Male
C00000501,3,62,Male
C00000502,3,6,Male
C00000503,2,73,Male
C00000504,1,36,Male
C00000505,1,13,Male
C00000506,2,75,Male
C00000507,2,75,Male
C00000508,1,53,Male
C00000509,4,73,Male
C00000510,1,12,Male
C00000511,2,9,Male
C00000512,2,60,Female
C00000513,1,8,Female
C00000514,2,8,Male
C00000515,3,1,Male
C00000516,3,1,Female
C00000517,2,63,Male
C00000518,1,54,Female
C00000519,4,18,Male
C00000520,2,46,Female
C00000521,1,69,Male
C00000522,2,1,Female
C00000523,3,38,Male
C00000524,2,30,Female
C00000525,2,30,Male
C00000526,2,43,Male
C00000527,2,43,Female
C00000528,1,37,Male
C00000529,1,69,Male
C00000530,2,29,Female
C00000531,1,27,Male
C00000532,4,27,Female
C00000533,2,54,Female
C00000534,2,74,Male
C00000535,3,26,Male
C00000536,3,47,Male
C00000537,3,1,Male
C00000538,2,5,Female
C00000540,3,19,Male
C00000541,3,19,Female
C00000542,3,59,Female
C00000543,2,11,Female
C00000544,2,63,Male
C00000545,1,75,Female
C00000546,2,7,Male
C00000547,2,54,Male
C00000548,3,49,Male
C00000550,2,7,Male
C00000551,1,47,Female
C00000552,3,1,Female
C00000553,2,1,Male
C00000554,3,30,Female
C00000555,3,30,Male
C00000556,2,29,Male
C00000557,3,51,Male
C00000558,3,43,Female
C00000559,1,32,Female
C00000560,2,71,Female
C00000561,2,74,Female
C00000562,1,49,Female
C00000563,2,72,Female
C00000564,2,72,Male
C00000565,2,64,Female
C00000566,2,47,Female
C00000567,2,47,Male
C00000568,2,8,Female
C00000569,2,73,Male
C00000570,2,61,Female
C00000571,3,3,Male
C00000572,3,3,Female
C00000573,2,69,Male
C00000574,1,1,Male
C00000575,1,58,Male
C00000576,1,58,Female
C00000577,2,1,Female
C00000578,1,23,Female
C00000579,3,72,Female
C00000581,2,70,Female
C00000582,2,1,Male
C00000583,2,75,Female
C00000584,1,33,Female
C00000585,2,40,Female
C00000586,2,40,Male
C00000587,2,25,Female
C00000588,2,61,Female
C00000589,2,45,Male
C00000590,2,44,Male
C00000591,1,65,Female
C00000592,2,26,Male
C00000593,2,60,Female
C00000596,2,69,Male
C00000597,2,55,Male
C00000598,1,1,Male
C00000599,1,1,Female
C00000601,2,56,Male
C00000602,2,56,Female
C00000603,2,13,Female
C00000604,2,1,Female
C00000605,1,1,Female
C00000606,2,10,Female
C00000607,2,64,Male
C00000608,1,67,Male
C00000609,2,52,Male
C00000610,1,74,Female
C00000611,2,36,Male
C00000612,2,36,Female
C00000613,1,1,Female
C00000614,2,14,Female
C00000615,2,68,Female
C00000616,1,58,Male
C00000617,1,70,Male
C00000618,3,57,Female
C00000619,3,6,Male
C00000620,3,6,Female
C00000621,3,54,Male
C00000622,3,74,Female
C00000623,3,24,Male
C00000624,3,24,Female
C00000625,1,60,Female
C00000626,4,9,Male
C00000627,1,17,Male
C00000628,1,17,Female
C00000629,1,16,Male
C00000630,2,61,Male
C00000631,2,70,Female
C00000632,2,67,Male
C00000633,3,67,Female
C00000635,3,17,Female
C00000636,3,17,Male
C00000637,1,39,Female
C00000638,2,54,Female
C00000639,1,31,Male
C00000640,1,26,Male
C00000641,2,40,Female
C00000642,2,40,Male
C00000643,2,1,Female
C00000644,2,35,Female
C00000645,3,14,Male
C00000646,3,34,Female
C00000647,3,34,Male
C00000648,3,70,Female
C00000649,1,13,Female
C00000651,1,54,Female
C00000652,3,61,Male
C00000653,3,1,Female
C00000654,2,64,Female
C00000655,2,32,Male
C00000656,2,1,Male
C00000657,3,8,Female
C00000658,3,8,Male
C00000659,2,24,Male
C00000660,3,16,Male
C00000661,3,16,Female
C00000662,2,5,Male
C00000663,3,24,Male
C00000664,4,77,Female
C00000665,3,62,Female
C00000666,4,26,Male
C00000667,4,26,Female
C00000668,2,1,Female
C00000669,2,12,Female
C00000670,2,1,Male
C00000671,1,10,Female
C00000672,3,46,Female
C00000673,3,36,Male
C00000674,3,11,Female
C00000675,1,50,Male
C00000676,2,70,Male
C00000677,2,5,Male
C00000678,3,39,Female
C00000679,2,8,Male
C00000680,2,8,Female
C00000681,1,15,Male
C00000682,1,18,Male
C00000683,2,76,Female
C00000684,1,3,Female
C00000685,3,72,Female
C00000686,1,32,Female
C00000687,1,32,Male
C00000688,2,1,Male
C00000689,2,70,Male
C00000690,2,38,Male
C00000691,2,38,Female
C00000692,3,74,Female
C00000693,3,74,Male
C00000694,3,29,Male
C00000695,2,28,Male
C00000696,2,28,Female
C00000697,1,1,Male
C00000698,2,75,Male
C00000699,3,26,Female
C00000700,3,12,Male
C00000702,2,31,Female
C00000703,2,4,Male
C00000704,1,54,Male
C00000705,3,19,Male
C00000706,2,1,Male
C00000707,2,1,Male
C00000708,1,50,Female
C00000709,3,1,Male
C00000710,3,23,Male
C00000711,2,48,Female
C00000712,2,54,Male
C00000713,4,20,Female
C00000714,1,31,Male
C00000715,2,1,Female
C00000716,2,1,Female
C00000717,2,54,Male
C00000718,2,54,Female
C00000719,1,46,Male
C00000720,2,29,Male
C00000721,2,43,Male
C00000722,1,62,Female
C00000723,2,12,Female
C00000724,2,65,Female
C00000725,2,75,Male
C00000726,3,16,Male
C00000727,3,32,Female
C00000728,3,32,Male
C00000729,2,63,Female
C00000730,1,63,Male
C00000731,1,74,Female
C00000732,1,74,Male
C00000733,1,46,Male
C00000734,4,46,Female
C00000735,1,1,Male
C00000736,1,1,Female
C00000737,2,74,Male
C00000738,3,25,Male
C00000739,2,72,Male
C00000740,3,55,Male
C00000741,2,74,Male
C00000742,2,1,Female
C00000743,2,1,Male
C00000744,2,26,Male
C00000745,2,52,Female
C00000746,2,52,Male
C00000747,2,24,Female
C00000748,3,25,Male
C00000749,3,25,Female
C00000750,2,70,Female
C00000751,2,70,Male
C00000752,2,72,Male
C00000753,2,72,Female
C00000754,2,63,Female
C00000755,2,72,Male
C00000756,3,31,Male
C00000757,1,71,Female
C00000758,2,68,Female
C00000759,2,29,Male
C00000760,3,57,Female
C00000762,3,21,Male
C00000763,3,75,Female
C00000764,2,49,Female
C00000765,2,65,Male
C00000766,3,1,Female
C00000767,3,1,Male
C00000768,3,32,Female
C00000769,1,40,Male
C00000772,2,64,Male
C00000773,3,4,Male
C00000774,1,70,Male
C00000775,2,51,Female
C00000776,2,1,Female
C00000777,2,1,Male
C00000778,2,13,Male
C00000779,2,69,Female
C00000780,3,3,Male
C00000781,2,72,Male
C00000782,2,5,Female
C00000783,1,27,Female
C00000784,2,27,Male
C00000785,3,63,Male
C00000786,1,53,Male
C00000787,2,3,Male
C00000788,1,47,Male
C00000789,3,4,Male
C00000790,2,63,Female
C00000791,2,68,Female
C00000793,1,21,Male
C00000794,1,21,Female
C00000796,3,1,Male
C00000797,2,8,Male
C00000798,2,27,Female
C00000799,3,27,Male
C00000803,2,35,Male
C00000804,2,35,Female
C00000806,4,60,Male
C00000807,2,53,Female
C00000808,2,31,Male
C00000809,3,49,Male
C00000810,2,58,Female
C00000811,2,58,Male
C00000812,2,39,Male
C00000813,2,70,Male
C00000814,2,19,Male
C00000815,2,22,Female
C00000816,2,17,Female
C00000818,2,54,Male
C00000819,2,74,Male
C00000820,2,74,Female
C00000821,2,49,Male
C00000822,2,37,Female
C00000823,2,41,Male
C00000824,2,27,Male
C00000825,1,74,Male
C00000826,1,1,Male
C00000827,2,10,Female
C00000828,2,10,Male
C00000829,2,24,Male
C00000830,2,69,Male
C00000831,2,2,Male
C00000832,3,67,Female
C00000833,2,5,Male
C00000834,3,54,Male
C00000835,2,28,Female
C00000836,2,28,Male
C00000837,1,71,Male
C00000838,2,71,Female
C00000839,2,47,Female
C00000840,3,20,Male
C00000841,4,69,Male
C00000842,3,12,Female
C00000843,2,54,Female
C00000844,2,22,Male
C00000845,2,22,Female
C00000846,2,35,Male
C00000847,1,49,Male
C00000849,3,26,Female
C00000850,2,19,Male
C00000851,3,25,Male
C00000852,3,25,Female
C00000853,2,70,Male
C00000854,2,72,Female
C00000855,3,58,Male
C00000856,3,23,Male
C00000857,2,32,Male
C00000858,2,47,Female
C00000859,2,1,Female
C00000860,2,1,Male
C00000861,2,1,Female
C00000862,2,30,Male
C00000863,2,54,Female
C00000864,2,11,Male
C00000865,2,11,Female
C00000866,1,38,Female
C00000870,2,70,Male
C00000871,1,76,Male
C00000872,2,35,Male
C00000873,2,60,Male
C00000874,2,14,Female
C00000875,2,14,Male
C00000876,2,1,Male
C00000877,3,5,Female
C00000878,3,5,Male
C00000879,2,38,Female
C00000880,2,49,Male
C00000881,1,5,Female
C00000882,3,70,Female
C00000883,3,75,Female
C00000884,3,75,Male
C00000885,3,34,Male
C00000886,2,34,Male
C00000887,1,66,Female
C00000888,1,28,Male
C00000889,4,54,Female
C00000890,3,77,Male
C00000891,3,33,Male
C00000892,3,42,Female
C00000893,3,43,Female
C00000894,3,75,Male
C00000895,1,39,Male
C00000896,1,36,Female
C00000897,4,36,Male
C00000898,2,38,Female
C00000899,2,38,Male
C00000900,1,73,Male
C00000901,3,39,Male
C00000902,2,23,Male
C00000903,3,31,Male
C00000904,3,1,Male
C00000905,2,38,Male
C00000906,1,65,Male
C00000907,2,51,Male
C00000908,2,51,Female
C00000909,1,23,Male
C00000910,2,1,Male
C00000911,3,43,Male
C00000912,3,76,Male
C00000913,3,1,Male
C00000914,3,1,Female
C00000915,1,12,Male
C00000916,2,3,Male
C00000917,1,25,Female
C00000918,2,26,Male
C00000921,2,7,Female
C00000922,1,22,Female
C00000923,1,22,Male
C00000924,2,1,Male
C00000925,2,54,Male
C00000926,4,1,Male
C00000927,1,1,Male
C00000928,2,66,Female
C00000929,3,30,Male
C00000930,2,68,Female
C00000931,2,16,Male
C00000932,2,3,Male
C00000933,1,33,Female
C00000934,4,33,Male
C00000935,2,42,Female
C00000936,2,42,Male
C00000937,3,1,Male
C00000938,2,59,Female
C00000939,2,21,Male
C00000940,2,53,Male
C00000941,3,10,Male
C00000942,3,12,Female
C00000943,3,12,Male
C00000944,1,39,Male
C00000945,1,39,Female
C00000946,2,54,Male
C00000948,3,49,Male
C00000949,1,3,Male
C00000950,2,76,Female
C00000951,2,76,Male
C00000952,2,63,Female
C00000953,3,25,Male
C00000954,2,1,Female
C00000955,2,57,Male
C00000956,2,1,Male
C00000957,2,56,Female
C00000958,2,56,Male
C00000959,2,11,Female
C00000960,2,16,Female
C00000961,3,15,Female
C00000962,2,19,Male
C00000963,2,64,Female
C00000964,2,10,Female
C00000965,1,13,Female
C00000966,1,13,Male
C00000967,1,76,Male
C00000968,2,69,Male
C00000970,2,36,Male
C00000971,3,46,Female
C00000972,3,46,Male
C00000973,1,14,Female
C00000974,2,14,Male
C00000975,2,1,Female
C00000976,2,16,Female
C00000977,3,76,Female
C00000978,2,56,Female
C00000979,2,56,Male
C00000980,2,40,Male
C00000981,2,5,Male
C00000984,2,20,Male
C00000985,2,20,Female
C00000986,2,74,Male
C00000987,2,60,Male
C00000988,3,40,Female
C00000989,3,40,Male
C00000990,2,71,Male
C00000991,2,32,Male
C00000992,2,19,Male
C00000993,2,44,Female
C00000994,1,36,Male
C00000995,1,36,Female
C00000996,4,1,Female
C00000997,2,59,Male
C00000998,2,59,Female
C00000999,2,74,Female
C00001000,2,74,Male
C00001001,2,44,Male
C00001002,2,42,Female
C00001003,3,31,Female
C00001004,2,3,Male
C00001006,2,46,Female
C00001007,3,46,Male
C00001008,2,6,Male
C00001009,2,33,Female
C00001010,2,33,Male
C00001011,3,16,Male
C00001012,2,70,Female
C00001013,1,70,Male
C00001014,3,1,Male
C00001015,3,62,Male
C00001016,2,62,Female
C00001017,2,6,Female
C00001018,2,53,Male
C00001019,2,14,Female
C00001020,1,72,Female
C00001021,1,2,Male
C00001022,2,31,Male
C00001023,3,1,Male
C00001024,2,25,Male
C00001025,2,15,Male
C00001026,1,57,Male
C00001027,2,1,Female
C00001028,3,1,Male
C00001029,2,1,Female
C00001030,2,1,Male
C00001031,2,2,Female
C00001032,3,1,Female
C00001033,3,1,Male
C00001034,1,52,Female
C00001035,1,13,Female
C00001036,1,13,Male
C00001037,2,1,Female
C00001038,2,69,Female
C00001039,4,70,Female
C00001040,2,1,Male
C00001041,2,72,Male
C00001042,2,17,Female
C00001043,2,17,Male
C00001044,1,9,Female
C00001045,2,60,Female
C00001046,1,1,Male
C00001047,2,16,Female
C00001048,1,70,Female
C00001049,2,1,Male
C00001050,1,27,Female
C00001051,1,73,Female
C00001052,2,56,Male
C00001053,2,56,Female
C00001054,3,63,Male
C00001055,3,4,Male
C00001056,2,1,Male
C00001057,3,52,Male
C00001058,1,9,Female
C00001059,2,26,Male
C00001060,2,26,Female
C00001062,1,16,Male
C00001063,1,16,Female
C00001064,2,1,Female
C00001065,2,2,Male
C00001066,2,1,Male
C00001067,2,1,Male
C00001068,3,13,Female
C00001069,3,54,Female
C00001070,3,54,Male
C00001071,3,43,Male
C00001072,2,60,Female
C00001073,3,34,Male
C00001074,3,34,Female
C00001075,3,65,Female
C00001076,1,53,Female
C00001077,3,46,Male
C00001078,1,24,Female
C00001079,2,3,Male
C00001080,2,54,Female
C00001081,1,71,Male
C00001082,2,9,Male
C00001083,3,48,Male
C00001084,2,48,Female
C00001085,3,60,Female
C00001086,1,74,Male
C00001087,1,74,Female
C00001088,2,47,Female
C00001089,3,1,Male
C00001090,3,35,Female
C00001091,2,59,Female
C00001092,2,41,Female
C00001093,1,62,Female
C00001094,2,30,Female
C00001095,2,30,Male
C00001096,3,1,Female
C00001097,3,1,Male
C00001098,2,60,Female
C00001099,1,65,Female
C00001100,2,59,Male
C00001101,2,74,Male
C00001102,3,72,Male
C00001103,2,1,Male
C00001104,2,1,Female
C00001105,2,56,Male
C00001106,2,56,Female
C00001107,2,60,Male
C00001108,2,62,Female
C00001109,3,58,Female
C00001110,3,10,Female
C00001111,1,61,Male
C00001112,3,13,Female
C00001113,1,11,Male
C00001114,4,59,Male
C00001115,3,36,Female
C00001116,1,69,Female
C00001117,1,20,Female
C00001118,2,20,Male
C00001119,1,54,Female
C00001120,1,41,Female
C00001121,3,59,Male
C00001122,3,20,Male
C00001123,3,20,Female
C00001124,3,21,Male
C00001125,3,9,Female
C00001126,3,9,Male
C00001127,1,23,Male
C00001128,3,7,Male
C00001129,3,43,Male
C00001130,2,70,Female
C00001131,2,55,Female
C00001132,2,55,Male
C00001133,2,37,Female
C00001134,2,37,Male
C00001135,2,8,Male
C00001136,1,9,Female
C00001137,1,1,Female
C00001138,1,70,Female
C00001139,1,70,Male
C00001140,2,18,Male
C00001141,2,21,Female
C00001142,2,59,Female
C00001143,2,59,Male
C00001145,2,58,Female
C00001146,2,54,Male
C00001147,3,3,Male
C00001148,2,41,Male
C00001149,1,14,Female
C00001150,2,74,Female
C00001151,1,59,Male
C00001152,4,74,Male
C00001153,4,70,Female
C00001154,3,72,Male
C00001155,3,72,Female
C00001156,3,1,Female
C00001157,2,4,Female
C00001158,2,1,Female
C00001159,2,64,Male
C00001160,3,64,Female
C00001161,1,7,Male
C00001162,1,26,Female
C00001163,2,20,Male
C00001164,2,15,Female
C00001165,2,15,Female
C00001166,2,74,Male
C00001167,2,74,Female
C00001168,1,19,Male
C00001169,2,18,Female
C00001170,1,12,Male
C00001171,1,46,Female
C00001172,3,54,Female
C00001173,3,54,Male
C00001174,1,29,Female
C00001175,3,1,Male
C00001176,3,1,Female
C00001177,3,77,Female
C00001178,1,1,Female
C00001179,3,1,Female
C00001180,2,21,Male
C00001181,3,1,Male
C00001182,2,66,Female
C00001183,2,54,Male
C00001186,2,2,Female
C00001187,2,32,Female
C00001188,2,32,Male
C00001189,3,74,Female
C00001190,1,15,Female
C00001191,1,15,Male
C00001192,3,10,Female
C00001193,3,19,Male
C00001194,3,17,Female
C00001195,3,39,Female
C00001196,2,22,Male
C00001197,2,6,Female
C00001198,1,72,Female
C00001199,1,64,Female
C00001200,3,47,Female
C00001201,2,54,Male
C00001202,4,47,Female
C00001204,1,77,Female
C00001206,2,50,Male
C00001207,3,28,Female
C00001208,1,70,Female
C00001209,2,36,Female
C00001210,2,6,Male
C00001211,1,1,Male
C00001212,3,13,Female
C00001213,2,1,Male
C00001214,2,61,Male
C00001215,2,45,Male
C00001216,2,65,Female
C00001217,3,59,Male
C00001218,4,74,Male
C00001219,2,1,Male
C00001220,2,40,Female
C00001221,1,14,Female
C00001222,3,7,Female
C00001223,2,14,Female
