trans_id,account_id,type_id,operation_id,bank_id,amount,balance,date
T00000122,A00000001,2,4,1,480,13132.7,2018-01-28
T00000123,A00000001,2,4,1,330,13612.7,2018-01-24
T00000125,A00000001,2,4,1,810,13942.7,2018-01-19
T00000127,A00000001,2,4,1,870,19036.2,2015-11-30
T00000131,A00000001,2,4,1,660,16276.7,2016-05-13
T00000132,A00000001,2,4,1,360,16692.4,2016-06-22
T00000133,A00000001,2,4,1,990,17980.4,2016-07-16
T00000134,A00000001,2,4,1,1410,19115.5,2016-08-26
T00000135,A00000001,2,4,1,270,19724.8,2016-10-13
T00000136,A00000001,2,4,1,1140,16898.5,2016-08-05
T00000137,A00000001,2,4,1,420,13530,2016-01-27
T00000138,A00000001,2,4,1,570,15174.7,2017-02-16
T00000139,A00000001,2,4,1,870,15812.2,2017-08-28
T00000140,A00000001,2,4,1,390,13022.7,2017-09-05
T00000141,A00000001,2,4,1,630,14544.7,2017-02-24
T00000142,A00000001,2,4,1,1170,12571.6,2017-05-27
T00000143,A00000001,2,4,1,810,15359.6,2018-03-17
T00000144,A00000001,2,4,1,270,18581.2,2018-08-03
T00000146,A00000001,2,4,1,510,16634.4,2018-11-14
T00000147,A00000001,2,4,1,1050,14358.1,2018-04-04
T00000148,A00000001,2,4,1,180,15405.1,2018-04-28
T00000149,A00000001,2,4,1,450,17506.5,2018-06-24
T00000150,A00000001,2,4,1,600,14752.7,2018-01-17
T00000159,A00000001,2,4,1,14.6,21487.3,2015-08-31
T00000160,A00000001,2,4,1,14.6,22091.2,2015-09-30
T00000161,A00000001,2,4,1,14.6,20494.1,2015-10-31
T00000162,A00000001,2,4,1,14.6,19021.6,2015-11-30
T00000163,A00000001,2,4,1,14.6,18173,2015-12-31
T00000164,A00000001,2,4,1,14.6,13579.5,2016-01-31
T00000165,A00000001,2,4,1,14.6,14951.6,2016-02-29
T00000166,A00000001,2,4,1,14.6,16429.8,2016-03-31
T00000167,A00000001,2,4,1,14.6,15709.7,2016-04-30
T00000168,A00000001,2,4,1,14.6,14425.4,2016-05-31
T00000169,A00000001,2,4,1,14.6,16743.4,2016-06-30
T00000170,A00000001,2,4,1,14.6,18038.5,2016-07-31
T00000171,A00000001,2,4,1,14.6,19176.7,2016-08-31
T00000172,A00000001,2,4,1,14.6,18767.8,2016-09-30
T00000173,A00000001,2,4,1,14.6,16783.5,2016-10-31
T00000174,A00000001,2,4,1,14.6,15268.3,2016-11-30
T00000175,A00000001,2,4,1,14.6,12659.9,2016-12-31
T00000176,A00000001,2,4,1,14.6,12817.7,2017-01-31
T00000177,A00000001,2,4,1,14.6,14588.3,2017-02-28
T00000178,A00000001,2,4,1,14.6,11252.6,2017-03-31
T00000179,A00000001,2,4,1,14.6,12514.6,2017-04-30
T00000180,A00000001,2,4,1,14.6,12611.1,2017-05-31
T00000181,A00000001,2,4,1,14.6,13878.7,2017-06-30
T00000182,A00000001,2,4,1,14.6,16655.2,2017-07-31
T00000183,A00000001,2,4,1,14.6,15864.7,2017-08-31
T00000184,A00000001,2,4,1,14.6,16752,2017-09-30
T00000185,A00000001,2,4,1,14.6,18036.8,2017-10-31
T00000186,A00000001,2,4,1,14.6,18221.7,2017-11-30
T00000187,A00000001,2,4,1,14.6,14795.7,2017-12-31
T00000188,A00000001,2,4,1,14.6,13174,2018-01-31
T00000189,A00000001,2,4,1,14.6,14942.6,2018-02-28
T00000190,A00000001,2,4,1,14.6,15408.1,2018-03-31
T00000191,A00000001,2,4,1,14.6,15450.4,2018-04-30
T00000192,A00000001,2,4,1,14.6,16729.5,2018-05-31
T00000193,A00000001,2,4,1,14.6,17563.4,2018-06-30
T00000194,A00000001,2,4,1,14.6,18851.2,2018-07-31
T00000195,A00000001,2,4,1,14.6,19870.8,2018-08-31
T00000196,A00000001,2,4,1,14.6,14641.9,2018-09-30
T00000197,A00000001,2,4,1,14.6,15917.4,2018-10-31
T00000198,A00000001,2,4,1,14.6,16686.9,2018-11-30
T00000199,A00000001,1,1,1,12600,17279,2015-04-23
T00000200,A00000001,1,1,1,2100,23077.2,2015-05-23
T00000201,A00000001,2,4,1,200,26635.2,2015-06-22
T00000202,A00000001,2,4,1,5300,25114.8,2015-07-22
T00000203,A00000001,2,4,1,7500,21402.7,2015-08-21
T00000204,A00000001,2,4,1,700,22014.3,2015-09-20
T00000205,A00000001,2,4,1,2900,20418.2,2015-10-20
T00000206,A00000001,2,4,1,1900,19821.1,2015-11-19
T00000207,A00000001,2,4,1,1600,18648.6,2015-12-19
T00000208,A00000001,2,4,1,2900,14970,2016-01-18
T00000209,A00000001,1,1,1,100,14906.5,2016-02-17
T00000210,A00000001,1,1,1,200,16378.6,2016-03-18
T00000211,A00000001,2,4,1,2000,15656.8,2016-04-17
T00000212,A00000001,2,4,1,1900,14376.7,2016-05-17
T00000213,A00000001,1,1,1,1400,17052.4,2016-06-16
T00000214,A00000001,1,1,1,1000,18970.4,2016-07-16
T00000215,A00000001,1,1,1,2400,20525.5,2016-08-15
T00000216,A00000001,2,4,1,1700,18703.7,2016-09-14
T00000217,A00000001,2,4,1,3000,16724.8,2016-10-14
T00000218,A00000001,2,4,1,2800,15210.5,2016-11-13
T00000219,A00000001,2,4,1,3700,12795.3,2016-12-13
T00000220,A00000001,1,1,1,1200,11407.9,2017-01-12
T00000221,A00000001,1,1,1,1700,12065.7,2017-02-11
T00000222,A00000001,2,4,1,4600,11215.3,2017-03-13
T00000223,A00000001,1,1,1,1500,12926.7,2017-07-11
T00000224,A00000001,2,4,1,1200,13003.2,2017-08-10
T00000225,A00000001,2,4,1,1100,14484.8,2017-11-08
T00000226,A00000001,2,4,1,4700,11069.7,2017-12-08
T00000227,A00000001,2,4,1,100,11673.7,2018-01-07
T00000228,A00000001,1,1,1,500,11222,2018-02-06
T00000229,A00000001,2,4,1,6500,13370.8,2018-09-04
T00000230,A00000001,2,4,1,4500,12186.9,2018-12-03
T00000276,A00000002,1,1,1,1100,1100,2013-02-26
T00000279,A00000002,1,2,4,20236,21336,2013-03-12
T00000280,A00000002,1,2,4,20236,45285.5,2013-04-12
T00000281,A00000002,1,2,4,20236,54630.9,2013-05-12
T00000282,A00000002,1,2,4,30354,67529.6,2013-06-12
T00000283,A00000002,1,2,4,20236,62325.5,2013-07-12
T00000284,A00000002,1,2,4,20236,49138.9,2013-08-12
T00000285,A00000002,1,2,4,20236,39961.8,2013-09-12
T00000286,A00000002,1,2,4,20236,30744,2013-10-12
T00000287,A00000002,1,2,4,20236,40800.4,2013-11-12
T00000288,A00000002,1,2,4,30354,47212.9,2013-12-12
T00000289,A00000002,1,2,4,20236,40810.6,2014-01-12
T00000290,A00000002,1,2,4,20236,33008.7,2014-02-12
T00000291,A00000002,1,2,4,20236,39199.6,2014-03-12
T00000292,A00000002,1,2,4,20236,44011.5,2014-04-12
T00000293,A00000002,1,2,4,20236,46144.2,2014-05-12
T00000294,A00000002,1,2,4,30354,43381.4,2014-06-12
T00000295,A00000002,1,2,4,20236,38690,2014-07-12
T00000296,A00000002,1,2,4,20236,43894.1,2014-08-12
T00000297,A00000002,1,2,4,20236,45819.5,2014-09-12
T00000298,A00000002,1,2,4,20236,38700.3,2014-10-12
T00000299,A00000002,1,2,4,20236,45013.2,2014-11-12
T00000300,A00000002,1,2,4,30354,51152.2,2014-12-12
T00000301,A00000002,1,2,4,20236,45883.6,2015-01-12
T00000302,A00000002,1,2,4,20236,33384.8,2015-02-12
T00000303,A00000002,1,2,4,20236,41077.6,2015-03-12
T00000304,A00000002,1,2,4,20236,46595.1,2015-04-12
T00000305,A00000002,1,2,4,20236,38898.2,2015-05-12
T00000306,A00000002,1,2,4,30354,46121.1,2015-06-12
T00000307,A00000002,1,2,4,20236,49575,2015-07-12
T00000308,A00000002,1,2,4,20236,50919.4,2015-08-12
T00000309,A00000002,1,2,4,20236,34251.9,2015-09-12
T00000310,A00000002,1,2,4,20236,42344.3,2015-10-12
T00000311,A00000002,1,2,4,20236,39812.9,2015-11-12
T00000312,A00000002,1,2,4,30354,58146.9,2015-12-12
T00000313,A00000002,1,2,4,20236,36992.1,2016-01-12
T00000314,A00000002,1,2,4,20236,41547.6,2016-02-12
T00000315,A00000002,1,2,4,20236,51138.4,2016-03-12
T00000316,A00000002,1,2,4,20236,47980.1,2016-04-12
T00000317,A00000002,1,2,4,20236,42557.6,2016-05-12
T00000318,A00000002,1,2,4,30354,51879.8,2016-06-12
T00000319,A00000002,1,2,4,20236,59600.1,2016-07-12
T00000320,A00000002,1,2,4,20236,47811.7,2016-08-12
T00000321,A00000002,1,2,4,20236,52135,2016-09-12
T00000322,A00000002,1,2,4,20236,48909.9,2016-10-12
T00000323,A00000002,1,2,4,20236,53536.7,2016-11-12
T00000324,A00000002,1,2,4,30354,61002,2016-12-12
T00000325,A00000002,1,2,4,20236,47060.9,2017-01-12
T00000326,A00000002,1,2,4,20236,45273.1,2017-02-12
T00000327,A00000002,1,2,4,20236,50579.4,2017-03-12
T00000328,A00000002,1,2,4,20236,56383.2,2017-04-12
T00000329,A00000002,1,2,4,20236,62839.9,2017-05-12
T00000330,A00000002,1,2,4,30354,69302,2017-06-12
T00000331,A00000002,1,2,4,20236,50615.6,2017-07-12
T00000332,A00000002,1,2,4,20236,52042.9,2017-08-12
T00000333,A00000002,1,2,4,20236,51915.6,2017-09-12
T00000334,A00000002,1,2,4,20236,55262.3,2017-10-12
T00000335,A00000002,1,2,4,20236,51614.9,2017-11-12
T00000336,A00000002,1,2,4,30354,62182.9,2017-12-12
T00000337,A00000002,1,2,4,20236,45345.6,2018-01-12
T00000338,A00000002,1,2,4,20236,40751.7,2018-02-12
T00000339,A00000002,1,2,4,20236,49746.4,2018-03-12
T00000340,A00000002,1,2,4,20236,43827.3,2018-04-12
T00000341,A00000002,1,2,4,20236,43128.4,2018-05-12
T00000342,A00000002,1,2,4,30354,59855.7,2018-06-12
T00000343,A00000002,1,2,4,20236,59511.6,2018-07-12
T00000344,A00000002,1,2,4,20236,60183.9,2018-08-12
T00000345,A00000002,1,2,4,20236,55835.7,2018-09-12
T00000346,A00000002,1,2,4,20236,53785.5,2018-10-12
T00000347,A00000002,1,2,4,20236,54535.1,2018-11-12
T00000348,A00000002,1,2,4,30354,54171.3,2018-12-12
T00000355,A00000002,2,4,1,3200,42089.5,2013-07-11
T00000356,A00000002,2,4,1,2900,28902.9,2013-08-07
T00000357,A00000002,2,4,1,3600,36361.8,2013-09-14
T00000358,A00000002,2,4,1,4000,17774,2013-10-03
T00000359,A00000002,2,4,1,3800,37000.4,2013-11-21
T00000360,A00000002,2,4,1,3500,21058.9,2013-12-08
T00000361,A00000002,2,3,4,3372.7,35337.9,2014-01-12
T00000362,A00000002,2,3,4,3372.7,29636,2014-02-12
T00000363,A00000002,2,3,4,3372.7,35826.9,2014-03-12
T00000364,A00000002,2,3,4,3372.7,40638.9,2014-04-12
T00000365,A00000002,2,3,4,3372.7,42771.5,2014-05-12
T00000366,A00000002,2,3,4,3372.7,40008.8,2014-06-12
T00000367,A00000002,2,3,4,3372.7,35317.3,2014-07-12
T00000368,A00000002,2,3,4,3372.7,40521.5,2014-08-12
T00000369,A00000002,2,3,4,3372.7,42446.9,2014-09-12
T00000370,A00000002,2,3,4,3372.7,35327.6,2014-10-12
T00000371,A00000002,2,3,4,3372.7,41640.6,2014-11-12
T00000372,A00000002,2,3,4,3372.7,47779.5,2014-12-12
T00000373,A00000002,2,3,4,3372.7,36211,2015-01-12
T00000374,A00000002,2,3,4,3372.7,30012.1,2015-02-12
T00000375,A00000002,2,3,4,3372.7,37704.9,2015-03-12
T00000376,A00000002,2,3,4,3372.7,43222.4,2015-04-12
T00000377,A00000002,2,3,4,3372.7,35525.5,2015-05-12
T00000378,A00000002,2,3,4,3372.7,42748.5,2015-06-12
T00000379,A00000002,2,3,4,3372.7,46202.3,2015-07-12
T00000380,A00000002,2,3,4,3372.7,47546.7,2015-08-12
T00000381,A00000002,2,3,4,3372.7,30879.2,2015-09-12
T00000382,A00000002,2,3,4,3372.7,38971.7,2015-10-12
T00000383,A00000002,2,3,4,3372.7,36440.2,2015-11-12
T00000384,A00000002,2,3,4,3372.7,54774.2,2015-12-12
T00000385,A00000002,2,4,1,4700,22692.1,2016-01-22
T00000386,A00000002,2,4,1,3500,38047.6,2016-02-16
T00000387,A00000002,2,4,1,2200,38538.4,2016-03-28
T00000388,A00000002,2,4,1,2500,22735.1,2016-04-26
T00000389,A00000002,2,4,1,3100,32557.6,2016-05-17
T00000390,A00000002,2,4,1,2900,21291.8,2016-06-03
T00000391,A00000002,2,4,1,3000,56600.1,2016-07-18
T00000392,A00000002,2,4,1,3200,44611.7,2016-08-13
T00000393,A00000002,2,4,1,2800,31899,2016-09-11
T00000394,A00000002,2,4,1,3500,45409.9,2016-10-22
T00000395,A00000002,2,4,1,3100,33300.7,2016-11-08
T00000396,A00000002,2,4,1,3600,45914,2016-12-04
T00000397,A00000002,2,4,1,2100,29660.9,2017-01-24
T00000398,A00000002,2,4,1,2000,43273.1,2017-02-13
T00000399,A00000002,2,4,1,4400,38873.1,2017-02-27
T00000400,A00000002,2,4,1,3100,53283.2,2017-04-15
T00000401,A00000002,2,4,1,3100,59739.9,2017-05-15
T00000402,A00000002,2,4,1,3400,53814,2017-06-01
T00000403,A00000002,2,4,1,2600,48015.6,2017-07-18
T00000404,A00000002,2,4,1,3300,48742.9,2017-08-14
T00000405,A00000002,2,4,1,3900,31679.6,2017-09-09
T00000406,A00000002,2,4,1,3800,51462.3,2017-10-14
T00000407,A00000002,2,4,1,3100,31378.9,2017-11-11
T00000408,A00000002,2,4,1,2800,53682.9,2017-12-21
T00000409,A00000002,2,4,1,3200,33209.6,2018-01-06
T00000410,A00000002,2,4,1,4000,27781.7,2018-02-03
T00000411,A00000002,2,4,1,2700,28927.4,2018-03-23
T00000412,A00000002,2,4,1,3400,40427.3,2018-04-21
T00000413,A00000002,2,4,1,3600,30158.4,2018-05-05
T00000414,A00000002,2,4,1,3500,56355.7,2018-06-15
T00000415,A00000002,2,4,1,2000,39275.6,2018-07-06
T00000416,A00000002,2,4,1,3100,39947.9,2018-08-10
T00000417,A00000002,2,4,1,4800,51035.7,2018-09-16
T00000418,A00000002,2,4,1,3200,33549.5,2018-10-08
T00000419,A00000002,2,4,1,2200,52335.1,2018-11-13
T00000420,A00000002,2,4,1,3700,23817.3,2018-12-07
T00000428,A00000002,2,3,5,7266,31802.9,2013-08-05
T00000429,A00000002,2,3,5,7266,19725.8,2013-09-05
T00000430,A00000002,2,3,5,7266,10508,2013-10-05
T00000431,A00000002,2,3,5,7266,20564.4,2013-11-05
T00000432,A00000002,2,3,5,7266,24558.9,2013-12-05
T00000433,A00000002,2,3,5,7266,20574.6,2014-01-05
T00000434,A00000002,2,3,5,7266,12772.7,2014-02-05
T00000435,A00000002,2,3,5,7266,18963.6,2014-03-05
T00000436,A00000002,2,3,5,7266,23775.5,2014-04-05
T00000437,A00000002,2,3,5,7266,25908.2,2014-05-05
T00000438,A00000002,2,3,5,7266,13027.4,2014-06-05
T00000439,A00000002,2,3,5,7266,18454,2014-07-05
T00000440,A00000002,2,3,5,7266,23658.1,2014-08-05
T00000441,A00000002,2,3,5,7266,25583.5,2014-09-05
T00000442,A00000002,2,3,5,7266,18464.3,2014-10-05
T00000443,A00000002,2,3,5,7266,24777.2,2014-11-05
T00000444,A00000002,2,3,5,7266,23798.2,2014-12-05
T00000445,A00000002,2,3,5,7266,25647.6,2015-01-05
T00000446,A00000002,2,3,5,7266,13148.8,2015-02-05
T00000447,A00000002,2,3,5,7266,20841.6,2015-03-05
T00000448,A00000002,2,3,5,7266,26359.1,2015-04-05
T00000449,A00000002,2,3,5,7266,18662.2,2015-05-05
T00000450,A00000002,2,3,5,7266,15767.1,2015-06-05
T00000451,A00000002,2,3,5,7266,29339,2015-07-05
T00000452,A00000002,2,3,5,7266,30683.4,2015-08-05
T00000453,A00000002,2,3,5,7266,14015.9,2015-09-05
T00000454,A00000002,2,3,5,7266,22108.3,2015-10-05
T00000455,A00000002,2,3,5,7266,19576.9,2015-11-05
T00000456,A00000002,2,3,5,7266,27792.9,2015-12-05
T00000457,A00000002,2,3,5,7266,16556.1,2016-01-05
T00000458,A00000002,2,3,5,7266,15511.6,2016-02-05
T00000459,A00000002,2,3,5,7266,30902.4,2016-03-05
T00000460,A00000002,2,3,5,7266,31444.1,2016-04-05
T00000461,A00000002,2,3,5,7266,15621.6,2016-05-05
T00000462,A00000002,2,3,5,7266,14025.8,2016-06-05
T00000463,A00000002,2,3,5,7266,44764.1,2016-07-05
T00000464,A00000002,2,3,5,7266,27875.7,2016-08-05
T00000465,A00000002,2,3,5,7266,37499,2016-09-05
T00000466,A00000002,2,3,5,7266,25373.9,2016-10-05
T00000467,A00000002,2,3,5,7266,38300.7,2016-11-05
T00000468,A00000002,2,3,5,7266,38648,2016-12-05
T00000469,A00000002,2,3,5,7266,32024.9,2017-01-05
T00000470,A00000002,2,3,5,7266,28637.1,2017-02-05
T00000471,A00000002,2,3,5,7266,31743.4,2017-03-05
T00000472,A00000002,2,3,5,7266,37947.2,2017-04-05
T00000473,A00000002,2,3,5,7266,46203.9,2017-05-05
T00000474,A00000002,2,3,5,7266,46548,2017-06-05
T00000475,A00000002,2,3,5,7266,30379.6,2017-07-05
T00000476,A00000002,2,3,5,7266,36306.9,2017-08-05
T00000477,A00000002,2,3,5,7266,35579.6,2017-09-05
T00000478,A00000002,2,3,5,7266,35026.3,2017-10-05
T00000479,A00000002,2,3,5,7266,34478.9,2017-11-05
T00000480,A00000002,2,3,5,7266,31828.9,2017-12-05
T00000481,A00000002,2,3,5,7266,36409.6,2018-01-05
T00000482,A00000002,2,3,5,7266,20515.7,2018-02-05
T00000483,A00000002,2,3,5,7266,29510.4,2018-03-05
T00000484,A00000002,2,3,5,7266,23591.3,2018-04-05
T00000485,A00000002,2,3,5,7266,22892.4,2018-05-05
T00000486,A00000002,2,3,5,7266,29501.7,2018-06-05
T00000487,A00000002,2,3,5,7266,41275.6,2018-07-05
T00000488,A00000002,2,3,5,7266,43047.9,2018-08-05
T00000489,A00000002,2,3,5,7266,35599.7,2018-09-05
T00000490,A00000002,2,3,5,7266,36749.5,2018-10-05
T00000491,A00000002,2,3,5,7266,38799.1,2018-11-05
T00000492,A00000002,2,3,5,7266,27517.3,2018-12-05
T00000493,A00000002,2,4,1,21286,27852.9,2013-08-22
T00000495,A00000002,2,4,1,13396,30816.9,2013-12-21
T00000497,A00000002,2,4,1,13145,49180.5,2013-07-19
T00000503,A00000002,2,4,1,12041,25605.9,2014-09-20
T00000508,A00000002,2,4,1,9336,26735.7,2015-10-17
T00000509,A00000002,2,4,1,6011,33611.4,2015-04-20
T00000510,A00000002,2,4,1,3672,36476.5,2015-06-29
T00000512,A00000002,2,4,1,2696,30915.4,2015-04-26
T00000513,A00000002,2,4,1,5119,25942.8,2015-04-30
T00000514,A00000002,2,4,1,19480,21166.7,2015-08-17
T00000517,A00000002,2,4,1,22745,25235.1,2016-04-26
T00000519,A00000002,2,4,1,19641,32494,2016-09-17
T00000521,A00000002,2,4,1,7935,48665.1,2016-07-19
T00000522,A00000002,2,4,1,13709,34956.1,2016-07-25
T00000523,A00000002,2,4,1,8477,24206.4,2016-05-31
T00000526,A00000002,2,4,1,2736,57003.9,2017-05-18
T00000527,A00000002,2,4,1,5166,43576.9,2017-08-27
T00000528,A00000002,2,4,1,5524,45055.4,2017-03-14
T00000529,A00000002,2,4,1,4198,55985.9,2018-08-13
T00000532,A00000002,2,4,1,18119,31627.4,2018-03-19
T00000533,A00000002,2,4,1,3010,47225.1,2018-11-19
T00000538,A00000002,2,4,1,42000,27302,2017-06-14
T00000542,A00000002,2,4,1,5100,23311,2015-01-22
T00000543,A00000002,2,4,1,9900,29522.1,2016-01-02
T00000545,A00000002,2,4,1,11700,30345.6,2018-01-20
T00000546,A00000002,2,4,1,4200,16858.9,2013-12-10
T00000547,A00000002,2,4,1,3000,20798.2,2014-12-07
T00000548,A00000002,2,4,1,4500,39274.2,2015-12-19
T00000549,A00000002,2,4,1,3300,53202,2016-12-21
T00000550,A00000002,2,4,1,5700,56482.9,2017-12-19
T00000551,A00000002,2,4,1,1800,34783.3,2018-12-02
T00000560,A00000002,2,4,1,2400,32937.9,2014-01-18
T00000561,A00000002,2,4,1,6000,26937.9,2014-01-19
T00000562,A00000002,2,4,1,6600,19937.9,2014-01-26
T00000563,A00000002,2,4,1,2100,38710.6,2014-01-12
T00000565,A00000002,2,4,1,6300,39583.6,2015-01-12
T00000566,A00000002,2,4,1,7500,28711,2015-01-13
T00000569,A00000002,2,4,1,3000,20311,2015-01-30
T00000574,A00000002,2,4,1,7800,29192.1,2016-01-12
T00000575,A00000002,2,4,1,1800,27392.1,2016-01-16
T00000576,A00000002,2,4,1,1800,45260.9,2017-01-12
T00000577,A00000002,2,4,1,4800,26824.9,2017-01-09
T00000578,A00000002,2,4,1,8700,39290.9,2017-01-01
T00000580,A00000002,2,4,1,5400,47990.9,2017-01-01
T00000583,A00000002,2,4,1,4200,25109.6,2018-01-10
T00000584,A00000002,2,4,1,3900,29309.6,2018-01-08
T00000586,A00000002,2,4,1,3300,42045.6,2018-01-18
T00000590,A00000002,2,4,1,3000,44212.9,2013-12-19
T00000592,A00000002,2,4,1,10200,21661.8,2013-09-26
T00000595,A00000002,2,4,1,5700,32779.5,2014-12-27
T00000596,A00000002,2,4,1,6900,33108.8,2014-06-21
T00000598,A00000002,2,4,1,3600,25720,2014-07-04
T00000599,A00000002,2,4,1,8400,20171.5,2014-05-25
T00000600,A00000002,2,4,1,2400,32721.5,2014-08-22
T00000601,A00000002,2,4,1,8700,32940.6,2014-11-17
