account_id,district_id,frequency_id,date
A00000088,31,1,2016-07-03
A00000089,68,1,2017-09-25
A00000090,1,1,2014-07-13
A00000091,17,1,2016-11-06
A00000093,2,1,2016-06-12
A00000095,1,1,2015-03-30
A00000096,68,1,2013-02-18
A00000097,74,1,2016-05-05
A00000098,55,1,2017-05-02
A00000099,1,1,2015-06-27
A00000100,41,1,2013-12-28
A00000101,35,1,2016-04-16
A00000102,11,1,2013-10-16
A00000103,44,1,2016-03-10
A00000104,37,1,2013-04-15
A00000105,21,1,2017-07-10
A00000106,63,1,2014-11-27
A00000107,64,1,2013-11-05
A00000108,53,1,2015-03-10
A00000109,53,1,2017-04-20
A00000110,36,1,2016-07-17
A00000112,6,1,2013-03-12
A00000113,55,1,2016-07-22
A00000114,60,1,2017-03-14
A00000115,68,1,2013-03-19
A00000116,8,1,2016-03-21
A00000117,31,1,2013-09-05
A00000118,68,1,2017-09-18
A00000119,27,1,2013-05-25
A00000120,65,2,2015-06-16
A00000121,55,1,2017-10-11
A00000122,31,1,2016-10-30
A00000123,21,1,2013-03-13
A00000124,55,1,2017-12-28
A00000125,2,3,2016-09-07
A00000126,5,1,2013-10-23
A00000127,29,1,2014-02-02
A00000128,2,1,2013-02-19
A00000129,74,1,2017-10-01
A00000130,54,1,2017-02-12
A00000131,52,1,2015-06-13
A00000132,40,3,2016-05-11
A00000133,64,2,2017-10-11
A00000134,34,1,2017-12-10
A00000135,75,1,2013-06-15
A00000136,74,1,2016-05-14
A00000137,70,1,2016-07-19
A00000138,22,1,2015-09-19
A00000139,38,2,2017-05-15
A00000140,24,1,2016-06-25
A00000141,38,1,2016-03-06
A00000142,51,1,2013-02-15
A00000143,21,1,2016-11-27
A00000144,10,2,2017-04-03
A00000145,31,1,2016-01-03
A00000146,4,1,2013-09-02
A00000148,8,1,2013-06-21
A00000149,43,1,2017-11-16
A00000150,73,1,2015-03-16
A00000151,76,1,2013-09-06
A00000152,1,1,2016-04-12
A00000153,77,1,2013-09-19
A00000154,46,1,2014-06-21
A00000155,58,1,2015-11-07
A00000156,64,1,2017-10-22
A00000157,11,1,2017-03-28
A00000158,37,1,2015-03-15
A00000159,70,1,2017-02-11
A00000160,23,1,2013-09-04
A00000161,28,1,2014-07-04
A00000162,60,1,2013-08-25
A00000163,30,1,2013-01-27
A00000164,60,1,2016-09-13
A00000165,25,1,2013-06-01
A00000166,17,1,2016-08-20
A00000167,29,2,2016-02-26
A00000168,31,1,2013-04-27
A00000169,4,1,2015-09-28
A00000170,59,1,2016-07-02
A00000171,46,1,2016-06-08
A00000172,13,1,2013-08-30
A00000173,66,1,2013-11-26
A00000174,52,1,2016-09-04
A00000176,71,2,2016-08-12
A00000177,1,1,2017-09-26
A00000178,59,1,2017-09-06
A00000179,1,2,2017-09-22
A00000180,55,2,2013-12-14
A00000181,21,1,2016-06-11
A00000182,47,1,2016-08-24
A00000183,43,1,2013-12-12
A00000184,77,1,2016-02-21
A00000185,32,1,2017-07-04
A00000186,1,2,2013-07-29
A00000187,5,1,2013-03-28
A00000188,54,1,2013-04-20
A00000189,76,1,2017-04-16
A00000190,74,1,2015-03-02
A00000191,41,1,2017-03-17
A00000192,55,1,2013-01-08
A00000193,69,1,2016-12-22
A00000194,44,1,2016-08-01
A00000195,70,1,2017-02-27
A00000196,4,1,2013-11-14
A00000197,1,1,2013-02-25
A00000198,70,1,2013-10-25
A00000199,70,1,2016-10-26
A00000200,17,1,2014-07-03
A00000201,63,1,2014-11-02
A00000204,67,1,2016-01-13
A00000205,1,1,2017-10-08
A00000206,61,1,2015-04-08
A00000207,2,1,2013-07-25
A00000208,54,1,2016-03-27
A00000209,37,1,2016-11-24
A00000210,48,1,2016-03-17
A00000211,28,1,2017-07-19
A00000212,27,2,2013-01-20
A00000213,73,1,2015-08-29
A00000214,22,1,2017-03-09
A00000215,31,1,2017-11-25
A00000216,38,1,2014-05-16
A00000217,77,1,2015-01-20
A00000218,68,1,2016-02-06
A00000219,28,1,2015-09-06
A00000220,72,1,2013-04-09
A00000221,19,1,2016-10-30
A00000222,37,1,2013-03-15
A00000223,39,1,2015-06-13
A00000224,15,1,2016-10-27
A00000225,1,1,2013-07-28
A00000226,70,1,2017-02-23
A00000227,27,1,2015-03-28
A00000228,5,1,2013-09-28
A00000229,1,1,2017-06-07
A00000230,1,1,2016-02-26
A00000231,22,1,2015-04-03
A00000232,45,1,2017-11-29
A00000234,73,1,2013-07-15
A00000235,41,1,2013-10-06
A00000236,72,1,2016-03-16
A00000237,50,1,2014-03-25
A00000238,6,1,2013-08-15
A00000239,69,2,2013-03-01
A00000240,72,1,2017-04-28
A00000241,15,1,2016-09-29
A00000242,69,1,2016-08-29
A00000243,55,2,2013-11-06
A00000244,24,1,2013-02-08
A00000245,65,1,2013-11-25
A00000246,65,1,2017-12-20
A00000248,1,1,2015-04-02
A00000249,28,1,2016-12-03
A00000250,56,1,2017-05-10
A00000251,74,1,2016-04-06
A00000252,19,1,2016-12-26
A00000253,46,1,2015-12-05
A00000255,68,1,2016-11-03
A00000256,37,1,2015-05-14
A00000257,11,1,2015-11-05
A00000258,64,1,2017-07-09
A00000259,2,1,2013-10-28
A00000260,24,1,2015-10-14
A00000261,54,1,2016-10-07
A00000262,75,1,2016-01-27
A00000263,64,2,2017-01-03
A00000264,15,1,2016-02-09
A00000265,19,1,2016-07-05
A00000266,47,1,2014-05-11
A00000267,38,1,2015-04-26
A00000268,3,1,2016-05-29
A00000269,3,1,2016-08-30
A00000270,27,1,2015-01-23
A00000271,1,1,2016-08-13
A00000272,11,1,2016-10-23
A00000273,24,3,2013-07-11
A00000274,76,1,2013-08-20
A00000275,29,1,2016-01-02
A00000276,38,1,2017-12-08
A00000277,32,3,2014-05-01
A00000278,73,1,2016-04-08
A00000279,39,1,2013-04-14
A00000280,25,1,2013-01-23
A00000281,1,1,2016-10-27
A00000282,69,1,2017-05-12
A00000283,44,1,2016-04-18
A00000284,54,1,2017-07-18
A00000285,17,1,2015-05-08
A00000286,71,1,2016-03-27
A00000287,16,1,2013-10-27
A00000288,25,1,2015-03-18
A00000289,1,1,2014-03-17
A00000290,56,1,2013-12-02
A00000291,7,1,2017-06-08
A00000292,49,1,2017-02-26
A00000293,1,1,2017-05-04
A00000294,7,1,2017-01-05
A00000295,66,1,2017-11-23
A00000296,49,1,2016-02-14
A00000297,74,1,2016-09-08
A00000298,35,1,2017-12-02
A00000299,77,1,2013-04-05
A00000300,1,1,2013-06-23
A00000301,60,1,2015-09-10
A00000302,7,1,2016-05-09
A00000303,71,1,2016-07-25
A00000304,4,1,2017-03-20
A00000305,34,1,2016-10-18
A00000306,16,1,2013-06-08
A00000307,26,1,2017-08-07
A00000308,61,1,2015-10-16
A00000309,14,1,2017-04-25
A00000311,50,1,2017-08-08
A00000312,41,1,2016-01-03
A00000313,73,1,2016-07-06
A00000314,15,3,2016-01-26
A00000315,45,1,2017-12-08
A00000316,62,1,2017-05-08
A00000317,76,1,2013-03-10
A00000318,36,1,2014-09-16
A00000319,47,2,2015-10-17
A00000320,47,1,2017-01-23
A00000321,47,1,2013-11-11
A00000322,1,1,2013-02-20
A00000323,52,1,2017-02-23
A00000324,1,1,2016-08-23
A00000325,75,1,2016-10-06
A00000326,61,1,2017-08-06
A00000327,54,1,2013-06-02
A00000328,1,1,2017-09-18
A00000329,3,1,2016-10-19
A00000330,42,1,2016-11-24
A00000331,65,1,2015-10-02
A00000332,36,1,2016-01-12
A00000333,73,1,2016-12-23
A00000334,1,1,2013-05-24
A00000335,74,1,2016-01-20
A00000336,62,1,2015-10-16
A00000337,17,1,2015-11-25
A00000338,49,1,2015-11-18
A00000339,46,2,2016-09-11
A00000340,1,1,2013-11-03
A00000341,28,1,2016-11-19
A00000342,64,1,2016-10-13
A00000343,18,1,2014-04-26
A00000344,54,1,2013-12-01
A00000345,5,1,2013-11-20
A00000346,37,1,2013-01-11
A00000347,65,1,2013-12-13
A00000348,25,1,2015-11-15
A00000349,72,1,2017-06-08
A00000350,47,1,2016-10-13
A00000351,50,1,2017-02-17
A00000352,39,1,2014-07-04
A00000353,24,1,2015-08-30
A00000354,59,1,2013-10-28
A00000355,62,2,2016-02-01
A00000356,70,1,2016-03-12
A00000357,20,1,2016-03-10
A00000358,12,1,2013-12-09
A00000359,11,1,2014-12-11
A00000360,32,1,2016-05-14
A00000361,51,1,2013-02-27
A00000362,15,1,2013-04-04
A00000363,1,1,2014-05-06
A00000364,1,1,2017-01-20
A00000365,74,1,2013-12-12
A00000366,1,1,2016-10-23
A00000367,23,1,2017-05-09
A00000368,77,1,2013-07-06
A00000370,25,1,2014-02-18
A00000371,12,1,2016-08-02
A00000372,55,1,2015-09-10
A00000373,67,1,2016-06-20
A00000374,38,1,2013-01-09
A00000375,68,1,2016-06-07
A00000376,25,1,2015-03-05
A00000377,70,1,2014-08-19
A00000378,68,1,2016-07-22
A00000379,32,1,2016-05-18
A00000381,68,1,2013-07-04
A00000382,14,1,2016-08-16
A00000383,38,1,2017-05-15
A00000384,24,2,2017-09-14
A00000385,5,1,2013-04-07
A00000386,1,1,2017-08-11
A00000387,72,1,2017-09-19
A00000388,59,1,2015-02-11
A00000389,30,1,2013-08-28
A00000390,44,1,2016-02-16
A00000391,36,1,2013-12-11
A00000392,1,1,2016-07-14
A00000393,46,1,2015-02-04
A00000395,1,1,2013-03-12
A00000396,21,1,2013-03-08
A00000397,11,1,2013-10-26
A00000398,69,1,2017-10-24
A00000399,1,1,2016-08-27
A00000400,28,1,2013-07-17
A00000401,32,1,2013-01-18
A00000402,68,1,2017-09-14
A00000403,1,1,2013-07-29
A00000404,41,1,2015-04-28
A00000405,55,1,2017-03-13
A00000406,63,1,2016-09-03
A00000407,72,2,2017-04-18
A00000408,41,1,2013-07-21
A00000409,1,1,2016-06-11
A00000410,49,1,2016-10-15
A00000411,70,1,2013-02-05
A00000412,74,1,2016-01-21
A00000413,18,1,2016-07-09
A00000414,1,1,2016-01-29
A00000415,25,1,2013-03-03
A00000416,6,1,2016-08-11
A00000417,73,1,2016-01-27
A00000418,36,1,2015-08-27
A00000419,13,1,2013-10-25
A00000420,75,1,2015-08-26
A00000421,75,1,2017-11-27
A00000422,53,2,2014-08-29
A00000423,12,1,2013-03-28
A00000424,12,1,2017-02-17
A00000425,9,1,2013-03-19
A00000426,1,1,2013-11-29
A00000427,8,1,2014-07-24
A00000428,1,1,2013-02-27
A00000429,63,1,2015-09-03
A00000430,54,1,2015-09-02
A00000431,18,1,2016-11-05
A00000432,46,1,2013-06-16
A00000433,20,1,2013-06-12
A00000434,1,1,2016-12-24
A00000435,38,1,2013-01-08
A00000436,30,1,2016-08-07
A00000437,43,1,2013-12-03
A00000438,37,1,2017-06-23
A00000439,69,1,2016-04-15
A00000440,29,1,2016-12-22
A00000441,27,2,2013-12-17
A00000442,54,1,2017-03-30
A00000443,64,1,2013-01-28
A00000444,26,1,2016-05-09
A00000445,63,2,2013-07-29
A00000446,50,1,2013-06-15
A00000447,5,1,2016-08-14
A00000449,19,1,2014-11-22
A00000450,59,1,2016-05-28
A00000451,11,1,2014-05-05
A00000452,63,1,2015-11-29
A00000453,75,1,2017-04-24
A00000454,7,1,2015-05-07
A00000455,54,1,2015-04-23
A00000456,49,1,2013-01-21
A00000458,7,1,2015-06-16
A00000459,47,1,2013-01-21
A00000460,1,1,2014-04-18
A00000461,30,1,2013-02-18
A00000462,29,1,2013-11-10
A00000463,51,1,2015-05-08
A00000464,43,1,2017-05-28
A00000465,32,1,2013-02-04
A00000466,71,1,2016-02-18
A00000467,74,1,2013-09-24
A00000468,49,1,2016-03-19
A00000469,72,1,2017-07-14
A00000470,64,1,2014-03-23
A00000471,47,1,2015-06-07
A00000472,8,1,2016-10-11
A00000473,73,1,2016-10-20
A00000474,61,1,2015-12-06
A00000475,3,1,2017-05-11
A00000476,69,1,2017-04-11
A00000477,1,1,2013-01-25
A00000478,58,1,2014-07-16
A00000479,1,1,2015-11-05
A00000480,23,1,2017-01-21
A00000481,72,1,2016-04-23
A00000483,70,1,2017-07-15
A00000484,1,1,2015-01-20
A00000485,6,3,2013-01-04
A00000486,33,1,2015-11-21
A00000487,40,1,2015-11-14
A00000488,25,1,2016-06-20
A00000489,16,1,2013-05-17
A00000490,45,1,2015-05-23
A00000491,44,1,2016-05-12
A00000492,5,1,2013-10-10
A00000493,26,1,2014-04-05
A00000494,60,1,2013-03-11
A00000496,69,1,2013-02-26
A00000497,55,1,2013-04-15
A00000498,1,1,2013-11-21
A00000500,56,1,2016-04-27
A00000501,13,1,2015-10-21
A00000502,1,1,2017-10-13
A00000503,1,1,2016-08-08
A00000504,73,1,2013-04-21
A00000505,64,1,2016-12-16
A00000506,67,1,2016-07-08
A00000507,52,1,2016-06-17
A00000508,74,1,2016-11-19
A00000509,36,1,2017-08-14
A00000510,1,2,2013-06-02
A00000511,14,1,2016-11-10
A00000512,68,1,2017-01-14
A00000513,58,1,2016-11-21
A00000514,70,1,2016-03-30
A00000515,57,1,2015-02-09
A00000516,6,1,2016-02-08
A00000517,76,1,2013-09-22
A00000518,74,1,2014-09-09
A00000519,24,1,2013-11-12
A00000520,60,1,2013-11-04
A00000521,9,1,2015-10-08
A00000522,17,1,2015-12-20
A00000523,1,1,2013-08-11
A00000524,61,1,2014-05-03
A00000525,70,1,2016-03-20
A00000526,67,1,2016-07-16
A00000528,17,1,2016-12-30
A00000529,39,1,2017-08-18
A00000530,54,1,2016-11-19
A00000531,31,1,2015-08-18
A00000532,26,1,2015-09-02
A00000533,40,1,2015-05-07
A00000534,1,1,2017-05-26
A00000535,35,1,2014-05-24
A00000536,14,1,2016-10-13
A00000537,34,1,2017-01-08
A00000538,70,1,2014-06-07
A00000539,13,3,2013-02-16
A00000540,75,1,2013-10-16
A00000541,61,1,2013-08-12
A00000542,1,1,2013-11-01
A00000543,64,1,2014-05-03
A00000544,32,1,2015-05-15
A00000545,54,1,2013-11-24
A00000546,8,1,2016-11-23
A00000547,24,1,2017-07-27
A00000548,16,1,2014-06-07
A00000549,5,1,2016-11-27
A00000550,24,1,2017-10-17
A00000551,77,1,2013-05-07
A00000552,14,1,2013-08-20
A00000553,26,1,2015-06-06
A00000554,26,1,2016-01-26
A00000555,24,1,2013-05-15
A00000556,12,1,2017-06-26
A00000557,1,1,2015-11-26
A00000558,10,1,2016-06-15
A00000559,46,1,2013-03-05
A00000560,36,1,2015-08-20
A00000561,11,1,2016-12-12
A00000562,50,1,2013-02-25
A00000563,53,1,2013-07-27
A00000564,5,1,2017-12-23
A00000565,39,1,2015-11-25
A00000566,8,1,2017-11-13
A00000567,15,1,2016-06-19
A00000568,18,1,2015-03-28
A00000569,76,1,2016-10-01
A00000570,3,1,2016-11-14
A00000571,72,1,2016-07-16
A00000572,32,1,2014-03-27
A00000573,1,2,2016-07-11
A00000574,70,1,2013-07-30
A00000575,38,1,2014-04-26
A00000576,55,1,2013-01-01
A00000577,29,1,2014-09-20
A00000578,28,2,2017-03-21
A00000579,1,1,2017-12-16
A00000580,75,1,2016-05-20
A00000581,26,1,2016-10-13
A00000582,12,1,2014-08-05
A00000584,31,1,2016-07-14
A00000585,4,1,2017-09-04
A00000586,54,1,2015-03-16
A00000587,19,1,2016-06-21
A00000588,66,1,2013-03-14
A00000589,1,1,2017-04-26
A00000590,50,1,2016-02-24
A00000591,1,1,2017-08-12
A00000592,23,1,2016-12-27
A00000593,48,1,2016-07-16
A00000594,54,1,2014-12-09
A00000595,20,1,2016-12-21
A00000596,31,1,2014-10-13
A00000597,41,1,2013-12-05
A00000598,1,1,2017-02-08
A00000599,54,1,2016-12-04
A00000600,46,1,2017-03-13
A00000601,29,1,2013-08-04
A00000602,43,1,2015-10-27
A00000603,62,1,2016-06-11
A00000604,12,1,2013-11-26
A00000605,65,1,2017-02-04
A00000606,75,1,2017-11-04
A00000607,16,1,2015-02-17
A00000608,32,1,2015-03-27
A00000609,63,1,2014-05-15
A00000610,74,1,2014-08-11
A00000611,46,1,2017-07-21
A00000612,1,1,2016-05-27
A00000613,74,3,2016-08-10
A00000614,25,1,2017-06-07
A00000615,72,1,2016-04-09
A00000616,43,1,2013-10-14
A00000617,74,1,2016-08-23
A00000618,1,1,2016-10-02
A00000619,1,2,2015-09-09
A00000620,26,1,2016-02-18
A00000621,52,1,2016-06-01
A00000622,24,1,2017-06-22
A00000623,1,1,2013-03-24
A00000624,70,1,2013-10-11
A00000625,70,1,2015-07-12
A00000626,72,1,2013-11-11
A00000627,63,1,2013-02-05
A00000628,72,1,2014-01-03
A00000629,31,1,2014-07-25
A00000630,71,1,2013-06-29
A00000631,68,1,2016-03-25
A00000632,29,1,2016-05-14
A00000633,57,1,2015-12-06
A00000635,21,1,2014-08-21
A00000636,75,1,2017-04-24
A00000637,49,1,2016-08-27
A00000638,65,1,2015-06-28
A00000639,1,1,2017-11-03
A00000640,32,1,2013-06-02
A00000641,40,1,2017-06-22
A00000643,64,1,2017-10-28
A00000644,4,1,2017-11-06
A00000645,70,1,2017-08-21
A00000646,51,1,2016-01-06
A00000647,1,1,2017-04-28
A00000648,13,1,2013-11-09
A00000649,69,2,2014-05-17
A00000650,3,1,2015-01-28
A00000651,72,1,2013-11-28
A00000652,21,1,2013-01-05
A00000653,27,1,2017-08-19
A00000654,63,1,2014-10-16
A00000655,53,1,2013-03-24
A00000656,3,1,2016-08-18
A00000657,47,1,2013-08-08
A00000658,4,1,2016-01-10
A00000659,63,1,2016-12-14
A00000660,68,1,2016-01-20
A00000662,21,1,2014-07-18
A00000664,1,1,2016-12-08
A00000665,8,1,2015-09-03
A00000666,27,1,2016-03-15
A00000669,35,1,2016-06-07
A00000671,60,1,2017-10-29
A00000672,53,1,2017-06-23
A00000673,31,1,2017-12-08
A00000674,49,1,2015-09-02
A00000675,58,1,2015-08-03
A00000676,39,1,2015-09-22
A00000677,70,1,2017-09-13
A00000678,17,1,2013-10-08
A00000679,22,1,2017-07-12
A00000680,17,1,2017-07-18
A00000682,54,1,2017-06-08
A00000683,74,1,2016-07-22
A00000684,49,1,2016-05-12
A00000685,37,2,2015-01-04
A00000686,41,1,2013-04-04
A00000687,27,1,2016-06-02
A00000688,74,1,2013-11-25
A00000689,1,1,2016-04-24
A00000690,10,1,2016-07-11
A00000691,24,1,2016-02-21
A00000692,69,1,2016-10-02
A00000693,2,1,2014-06-06
A00000694,67,1,2016-09-04
A00000695,5,1,2016-04-21
A00000696,54,1,2017-11-09
A00000697,28,1,2013-02-23
A00000698,71,1,2016-09-29
A00000699,1,1,2013-09-17
A00000700,20,1,2014-06-01
A00000701,69,1,2013-06-08
A00000702,12,1,2013-06-23
A00000703,54,1,2017-12-21
A00000704,55,1,2013-01-01
A00000705,35,1,2017-07-14
A00000706,49,1,2016-05-07
A00000708,26,1,2016-03-30
A00000709,19,1,2014-07-25
A00000710,25,1,2014-09-02
A00000711,70,1,2014-07-06
A00000712,72,1,2016-12-01
A00000713,58,1,2016-10-15
A00000714,23,1,2016-11-04
A00000715,32,1,2016-08-08
A00000716,47,1,2014-09-25
A00000717,75,1,2013-04-24
A00000718,1,1,2016-03-03
A00000719,30,1,2013-12-21
A00000720,54,1,2015-07-20
A00000721,76,1,2013-08-29
A00000722,38,3,2017-05-04
A00000725,70,1,2016-07-08
A00000726,76,1,2014-02-03
A00000727,35,1,2017-12-25
A00000728,60,1,2015-11-28
A00000729,14,1,2017-02-15
A00000730,4,1,2013-08-28
A00000731,5,1,2015-07-11
A00000732,38,1,2016-06-07
A00000733,49,2,2015-05-17
A00000734,5,1,2016-04-08
A00000735,70,1,2017-09-17
A00000736,75,1,2017-12-07
A00000737,34,1,2013-12-08
A00000738,34,1,2013-06-21
A00000739,66,1,2016-03-18
A00000740,28,1,2014-04-04
A00000741,54,1,2014-07-14
A00000742,77,1,2014-01-28
A00000743,10,1,2013-11-05
A00000744,42,1,2013-03-06
A00000745,43,1,2017-10-09
A00000746,75,1,2015-05-10
A00000747,39,1,2013-08-09
A00000748,10,1,2013-04-08
A00000749,38,1,2017-03-23
A00000750,73,1,2013-09-12
A00000751,3,1,2013-05-12
A00000752,23,1,2017-01-10
A00000753,31,1,2016-08-14
A00000754,1,1,2015-06-08
A00000755,38,1,2017-09-27
A00000756,65,1,2015-01-13
A00000757,50,1,2013-07-19
A00000758,51,1,2017-12-19
A00000759,23,1,2013-08-01
A00000760,1,1,2017-05-24
A00000761,43,1,2014-04-09
A00000762,76,1,2015-10-18
A00000763,1,1,2015-02-23
A00000764,1,1,2013-01-08
A00000765,12,1,2016-12-20
A00000766,3,1,2016-04-21
A00000767,25,1,2015-03-26
A00000768,26,1,2017-07-03
A00000770,7,1,2016-09-24
A00000771,22,1,2016-01-22
A00000772,45,1,2013-01-21
A00000773,15,1,2013-06-19
A00000774,1,1,2013-06-08
A00000775,1,1,2014-12-18
A00000776,66,1,2016-05-18
A00000777,30,1,2017-12-28
A00000778,68,1,2016-10-26
A00000779,16,1,2016-08-13
A00000780,3,1,2016-04-26
A00000781,33,1,2015-02-19
A00000782,42,1,2017-10-30
A00000783,1,1,2017-09-08
A00000784,59,1,2014-04-19
A00000785,21,2,2017-08-09
A00000786,53,1,2015-08-12
A00000787,10,1,2013-11-14
A00000788,12,1,2016-06-25
A00000789,39,1,2015-02-06
A00000790,54,1,2013-05-11
A00000791,49,1,2015-12-14
A00000792,3,1,2017-08-13
A00000793,47,1,2013-01-03
A00000794,63,1,2017-04-24
A00000795,25,1,2015-01-27
A00000796,1,1,2017-02-13
A00000797,57,1,2016-11-20
A00000798,1,1,2016-04-22
A00000799,56,1,2013-10-10
A00000800,11,1,2017-12-06
A00000801,16,1,2017-07-23
A00000802,15,1,2014-12-20
A00000803,19,1,2015-09-09
A00000804,64,1,2016-02-06
A00000805,10,1,2016-12-02
A00000806,13,1,2016-10-29
A00000807,76,2,2015-06-13
A00000808,69,1,2015-06-13
A00000809,36,1,2015-12-20
A00000810,46,1,2015-11-11
A00000811,14,2,2017-08-01
A00000812,1,1,2016-08-30
A00000813,16,1,2013-02-10
A00000814,76,1,2016-10-06
A00000815,56,1,2013-08-25
A00000816,52,1,2013-08-05
A00000817,5,1,2014-03-18
A00000819,20,1,2015-04-22
A00000820,74,1,2015-11-04
A00000821,60,1,2016-03-16
A00000822,40,1,2016-10-04
A00000823,71,1,2017-09-19
A00000824,32,1,2016-03-21
A00000825,19,1,2016-03-06
A00000826,44,1,2016-10-05
A00000827,36,1,2016-02-23
A00000828,1,1,2017-02-12
A00000829,59,1,2016-11-10
A00000830,74,1,2013-02-08
A00000831,44,1,2016-09-18
A00000832,42,1,2016-05-24
A00000833,31,1,2016-08-29
A00000834,3,1,2017-05-23
A00000836,46,1,2016-07-28
A00000837,46,1,2013-09-18
A00000838,47,1,2013-10-23
A00000839,16,1,2015-01-17
A00000840,70,1,2016-03-12
A00000841,1,1,2013-11-04
A00000842,62,1,2015-04-07
A00000843,6,1,2017-04-09
A00000844,53,1,2014-04-28
A00000845,14,1,2017-12-27
A00000846,72,1,2016-03-09
A00000847,2,1,2016-07-21
A00000848,31,1,2016-06-16
A00000849,1,1,2016-01-01
A00000850,25,1,2017-03-07
A00000851,15,1,2014-09-23
A00000852,57,1,2017-10-23
A00000853,1,1,2016-03-20
A00000854,62,1,2013-09-21
A00000855,1,1,2014-03-28
A00000856,2,1,2016-03-03
A00000857,77,1,2013-09-16
A00000858,52,1,2016-07-13
A00000859,13,1,2017-08-26
A00000860,1,1,2013-03-19
A00000861,22,1,2013-09-13
A00000862,64,2,2013-02-02
A00000863,71,1,2013-05-16
A00000864,72,1,2017-07-08
A00000865,17,1,2016-03-18
A00000866,9,1,2013-01-10
A00000867,60,1,2017-11-09
A00000868,1,1,2017-05-26
A00000869,16,1,2016-07-15
A00000870,70,1,2015-03-27
A00000871,1,1,2016-09-02
A00000872,27,1,2017-01-18
A00000873,73,1,2017-04-26
A00000874,56,2,2016-03-23
A00000875,63,1,2015-05-17
A00000876,4,1,2017-10-26
A00000877,1,1,2016-05-29
A00000878,52,1,2016-06-29
A00000879,9,1,2017-06-04
A00000880,26,1,2016-12-08
A00000882,9,1,2013-03-06
A00000883,1,1,2013-12-17
A00000884,2,1,2013-12-07
A00000885,1,1,2013-06-25
A00000886,1,1,2013-06-23
A00000887,1,1,2013-05-05
A00000888,54,1,2016-10-28
A00000889,43,1,2017-12-22
A00000890,14,1,2013-02-05
A00000891,34,1,2016-05-23
A00000892,70,1,2013-03-20
A00000893,53,1,2015-04-12
A00000894,46,1,2015-08-27
A00000895,24,1,2016-03-12
A00000896,3,1,2015-06-11
A00000897,38,1,2013-04-26
A00000898,71,1,2016-03-27
A00000899,72,1,2013-06-21
A00000900,48,1,2014-04-26
A00000901,60,1,2014-07-10
A00000902,74,1,2013-06-29
A00000903,47,1,2013-12-10
A00000904,1,1,2014-03-20
A00000905,35,1,2016-12-11
A00000906,59,1,2017-12-27
A00000907,41,1,2013-07-09
A00000908,62,1,2014-04-29
A00000909,30,1,2017-09-02
A00000910,1,1,2017-02-03
A00000911,60,1,2016-08-12
A00000912,65,1,2017-04-27
A00000913,59,1,2016-05-10
A00000914,73,1,2013-11-14
