complaint_id,client_id,date_received,product_id,via_id,response_id
CR0003704,C00000904,2011-12-07,2,3,2
CR0003712,C00003423,2011-12-07,2,2,2
CR0003723,C00002153,2011-12-07,2,4,2
CR0003732,C00000146,2011-12-07,2,5,3
CR0003745,C00002902,2011-12-07,2,3,1
CR0003797,C00001481,2011-12-08,2,2,3
CR0003804,C00003730,2011-12-08,2,2,2
CR0003810,C00004557,2011-12-08,2,2,2
CR0003824,C00002779,2011-12-08,2,2,2
CR0003839,C00004212,2011-12-02,2,3,3
CR0003892,C00001524,2011-12-02,2,3,2
CR0003903,C00000361,2011-12-08,2,3,2
CR0003986,C00011516,2011-12-08,2,3,2
CR0004101,C00002188,2011-12-08,2,2,3
CR0004181,C00003933,2011-12-08,2,2,3
CR0004218,C00001783,2011-12-09,2,2,2
CR0004233,C00000123,2011-12-09,2,2,3
CR0004257,C00000899,2011-12-09,2,2,5
CR0004271,C00000064,2012-01-09,2,3,2
CR0004274,C00003587,2011-12-06,2,3,3
CR0004310,C00007586,2011-12-09,2,2,2
CR0004503,C00004633,2011-12-10,2,2,2
CR0004530,C00002195,2011-12-10,2,2,3
CR0004533,C00004979,2011-12-10,2,2,2
CR0004574,C00003482,2011-12-11,2,2,2
CR0004787,C00002366,2011-12-12,2,3,2
CR0004864,C00005978,2011-12-12,2,2,3
CR0004876,C00010043,2011-12-12,2,2,2
CR0004886,C00000772,2011-12-12,2,2,3
CR0004889,C00004768,2011-12-12,2,1,2
CR0004913,C00003877,2011-12-12,2,2,2
CR0004938,C00004153,2011-12-12,2,2,2
CR0005007,C00001555,2011-12-09,2,3,3
CR0005213,C00004344,2011-12-13,2,2,2
CR0005284,C00002288,2011-12-13,2,2,3
CR0005335,C00004101,2011-12-13,2,2,3
CR0005357,C00003575,2011-12-14,2,2,3
CR0005468,C00004496,2011-12-13,2,2,3
CR0005541,C00002511,2011-12-14,2,2,2
CR0005578,C00004170,2011-12-14,2,2,5
CR0005690,C00001790,2011-12-14,2,2,2
CR0005814,C00004239,2011-12-14,2,3,3
CR0005877,C00004066,2011-12-15,2,2,3
CR0005959,C00001865,2011-12-15,2,3,2
CR0006139,C00000335,2011-12-16,2,2,2
CR0006171,C00004584,2011-12-16,2,2,3
CR0006173,C00003841,2011-12-16,2,1,2
CR0006244,C00011250,2011-12-16,2,3,2
CR0006444,C00000981,2011-12-17,2,2,5
CR0006452,C00004253,2011-12-17,2,2,2
CR0006495,C00002391,2011-12-18,2,2,3
CR0006548,C00004585,2011-12-19,2,3,5
CR0006618,C00004655,2011-12-19,2,2,2
CR0006646,C00004295,2011-12-19,2,3,3
CR0006660,C00001686,2011-12-19,2,2,2
CR0006738,C00002476,2011-12-19,2,2,3
CR0006743,C00001373,2011-12-19,2,2,3
CR0006795,C00008366,2011-12-19,2,1,2
CR0006872,C00012625,2011-12-20,2,3,3
CR0007134,C00011713,2011-12-20,2,2,5
CR0007165,C00006616,2011-12-20,2,4,5
CR0007168,C00012145,2012-03-01,1,2,3
CR0007257,C00003388,2011-12-21,2,2,2
CR0007297,C00012376,2011-12-21,2,3,3
CR0007378,C00013201,2011-12-21,2,2,2
CR0007379,C00004219,2011-12-21,2,1,5
CR0007413,C00001909,2011-12-21,2,3,3
CR0007500,C00000335,2011-12-21,2,2,2
CR0007503,C00004919,2011-12-22,2,2,5
CR0007517,C00003106,2011-12-22,2,2,2
CR0007613,C00000078,2011-12-22,2,2,1
CR0007623,C00005013,2011-12-21,2,3,2
CR0007698,C00000530,2011-12-22,2,3,2
CR0007747,C00013447,2011-12-22,2,2,5
CR0007852,C00004381,2011-12-23,2,2,3
CR0007882,C00001371,2011-12-23,2,4,2
CR0007887,C00003206,2011-12-23,2,2,3
CR0007899,C00000121,2011-12-24,2,2,3
CR0007906,C00002364,2011-12-24,2,2,2
CR0007960,C00003358,2011-12-26,2,2,2
CR0008014,C00002577,2011-12-27,2,2,3
CR0008112,C00003833,2012-01-18,2,2,3
CR0008219,C00012643,2012-02-07,2,3,3
CR0008228,C00001294,2011-12-28,2,2,2
CR0008559,C00005180,2011-12-29,2,2,3
CR0008566,C00001444,2011-12-29,2,3,3
CR0008655,C00003501,2011-12-29,2,2,2
CR0008760,C00012163,2011-12-30,2,2,3
CR0008817,C00003891,2011-12-29,2,3,2
CR0008822,C00000192,2011-12-28,2,3,3
CR0009048,C00003448,2012-01-02,2,2,2
CR0009056,C00001486,2012-01-02,2,2,3
CR0009105,C00003108,2012-01-03,2,3,3
CR0009138,C00000066,2012-02-08,2,4,3
CR0009270,C00001795,2012-01-03,2,2,2
CR0009342,C00001648,2012-01-03,2,2,2
CR0009358,C00001891,2012-01-03,2,1,2
CR0009394,C00002962,2012-01-03,2,2,3
CR0009416,C00002261,2012-05-13,2,2,6
CR0009425,C00000195,2012-01-04,2,2,2
CR0009435,C00000247,2012-01-04,2,2,3
CR0009504,C00003453,2012-01-04,2,2,2
CR0009715,C00002381,2012-01-04,2,2,2
CR0009723,C00004350,2012-03-15,2,2,2
CR0009892,C00002631,2012-01-05,2,2,3
CR0009986,C00001008,2012-01-05,2,2,3
CR0010013,C00000509,2012-01-05,2,2,3
CR0010024,C00001460,2012-01-04,2,3,3
CR0010346,C00002179,2012-01-05,2,2,3
CR0010376,C00005399,2012-01-05,2,2,2
CR0010377,C00003071,2012-02-01,2,2,3
CR0010401,C00001733,2012-01-05,2,2,3
CR0010464,C00000298,2012-01-06,2,2,2
CR0010481,C00002852,2012-01-06,2,2,2
CR0010496,C00004161,2012-01-17,2,2,2
CR0010515,C00004243,2012-01-06,2,2,2
CR0010718,C00002576,2012-01-06,2,2,3
CR0010773,C00000553,2012-01-06,2,2,2
CR0010874,C00002864,2012-01-06,2,2,3
CR0010889,C00003624,2012-01-06,2,1,5
CR0011198,C00000739,2012-01-07,2,2,3
CR0011254,C00005527,2012-01-07,2,2,3
CR0011298,C00001165,2012-03-05,2,2,2
CR0011349,C00001681,2012-01-07,2,2,3
CR0011365,C00001164,2012-01-07,2,2,2
CR0011379,C00004153,2012-01-07,2,2,3
CR0011402,C00003338,2012-01-08,2,2,3
CR0011433,C00001412,2012-01-08,2,2,3
CR0011477,C00008726,2012-01-08,2,2,3
CR0011488,C00002286,2012-01-08,2,2,3
CR0011526,C00004718,2012-01-09,2,2,2
CR0011551,C00001908,2012-01-25,2,3,2
CR0011683,C00000342,2012-01-09,2,2,2
CR0011726,C00000224,2012-01-09,2,3,3
CR0011979,C00007814,2012-02-23,2,2,2
CR0012087,C00003028,2012-01-10,2,2,2
CR0012172,C00005180,2012-01-05,2,3,3
CR0012219,C00002287,2012-01-06,2,3,3
CR0012245,C00006481,2012-01-10,2,2,2
CR0012306,C00001800,2012-01-10,2,4,5
CR0012391,C00001726,2012-01-06,2,3,2
CR0012398,C00000030,2012-01-10,2,2,2
CR0012508,C00000331,2012-01-10,2,2,3
CR0012550,C00004783,2012-01-11,2,2,3
CR0012557,C00003125,2012-01-11,2,2,5
CR0012641,C00003649,2012-01-11,2,2,3
CR0012683,C00002616,2012-01-11,2,2,2
CR0012684,C00002105,2012-01-11,2,2,3
CR0012743,C00001219,2012-01-11,2,2,3
CR0012796,C00000579,2012-01-31,2,2,3
CR0013046,C00011126,2012-01-12,2,2,3
CR0013104,C00000003,2012-01-12,2,2,3
CR0013131,C00000091,2012-04-05,2,3,3
CR0013137,C00000486,2012-01-12,2,2,3
CR0013154,C00001564,2012-01-12,2,2,2
CR0013185,C00003283,2012-01-12,2,2,3
CR0013202,C00004622,2012-01-12,2,2,2
CR0013208,C00004752,2012-01-12,2,2,3
CR0013291,C00000576,2012-01-12,2,2,3
CR0013312,C00000632,2012-01-13,2,4,3
CR0013314,C00000246,2011-12-27,2,1,3
CR0013328,C00002716,2012-02-23,2,5,3
CR0013340,C00001908,2012-01-13,2,2,2
CR0013374,C00001798,2012-01-13,2,2,3
CR0013417,C00002088,2012-01-13,2,2,3
CR0013448,C00001834,2012-01-13,2,2,2
CR0013527,C00002606,2012-02-06,2,6,3
CR0013540,C00000516,2012-01-18,2,2,3
CR0013543,C00002585,2012-01-13,2,3,2
CR0013680,C00000334,2012-01-13,2,2,3
CR0013706,C00004312,2012-01-13,2,2,2
CR0013776,C00004788,2012-01-14,2,2,2
CR0013808,C00004164,2012-01-14,2,2,2
CR0013821,C00000814,2012-01-14,2,2,2
CR0013829,C00003852,2012-01-14,2,2,3
CR0013833,C00002317,2012-01-15,2,2,3
CR0013855,C00003391,2012-01-15,2,2,3
CR0013891,C00002980,2012-01-16,2,2,3
CR0013892,C00009428,2012-01-16,2,2,3
CR0013893,C00000749,2012-01-16,2,2,3
CR0013894,C00003026,2012-01-19,2,2,2
CR0013918,C00000647,2012-01-16,2,2,3
CR0014241,C00001489,2012-01-17,2,2,3
CR0014335,C00001221,2012-01-17,2,1,2
CR0014338,C00005283,2012-01-17,2,1,3
CR0014370,C00003262,2012-01-17,2,2,2
CR0014543,C00001226,2012-01-18,2,2,3
CR0014696,C00002075,2012-01-18,2,3,1
CR0014704,C00002892,2012-01-18,2,6,2
CR0014802,C00000838,2012-01-18,2,2,3
CR0014856,C00004160,2012-01-18,2,2,3
CR0014882,C00010274,2012-01-18,2,2,3
CR0014911,C00010043,2012-01-19,2,2,3
CR0014991,C00003525,2012-01-19,2,1,2
CR0015072,C00001049,2012-01-19,2,2,2
CR0015246,C00002236,2012-01-20,2,2,2
CR0015377,C00000381,2012-01-20,2,2,2
CR0015385,C00000763,2012-01-20,2,2,2
CR0015394,C00002267,2011-12-14,2,1,2
CR0015420,C00005866,2012-01-20,2,2,2
CR0015451,C00000194,2012-01-20,2,2,3
CR0015517,C00003605,2012-03-01,2,2,3
CR0015546,C00011768,2012-01-23,2,2,3
CR0015605,C00000675,2012-01-21,2,2,2
CR0015759,C00004433,2012-01-23,2,2,2
CR0015859,C00006183,2012-01-23,2,2,2
CR0015860,C00013588,2012-01-23,2,2,2
CR0015989,C00004771,2012-01-23,2,2,3
CR0015991,C00003587,2012-03-02,2,3,3
CR0016069,C00003672,2012-01-24,2,2,3
CR0016117,C00001316,2012-01-22,2,3,3
CR0016294,C00001396,2012-01-22,2,3,2
CR0016295,C00002877,2012-01-28,2,2,3
CR0016304,C00004604,2012-01-24,2,4,2
CR0016335,C00001926,2012-01-24,2,3,3
CR0016347,C00004671,2012-01-24,2,2,2
CR0016373,C00007567,2012-01-24,2,2,2
CR0016377,C00009428,2012-01-24,2,2,3
CR0016419,C00000354,2012-01-24,2,3,3
CR0016459,C00004514,2012-03-06,2,1,3
CR0016472,C00000433,2012-01-26,2,3,2
CR0016576,C00003599,2012-01-25,2,2,3
CR0016728,C00000936,2012-01-25,2,3,2
CR0016736,C00001226,2012-01-25,2,2,3
CR0016758,C00004600,2012-01-25,2,3,3
CR0016816,C00002696,2012-01-25,2,2,3
CR0016857,C00001129,2012-01-25,2,3,2
CR0016871,C00010041,2012-01-25,2,2,2
CR0016873,C00000646,2012-01-25,2,2,3
CR0016913,C00004861,2012-01-25,2,3,2
CR0016963,C00004944,2012-01-25,2,2,2
CR0016985,C00001955,2012-04-09,2,3,2
CR0017056,C00000588,2012-01-26,2,2,3
CR0017135,C00003218,2012-01-26,2,3,2
CR0017156,C00003644,2012-01-26,2,3,2
CR0017167,C00000371,2012-01-26,2,2,3
CR0017168,C00011314,2012-01-31,2,2,3
CR0017201,C00011304,2012-01-26,2,2,3
CR0017205,C00001177,2012-01-26,2,3,2
CR0017229,C00001071,2012-01-26,2,3,2
CR0017266,C00003569,2012-01-26,2,3,2
CR0017280,C00008568,2012-01-26,2,2,2
CR0017329,C00005376,2012-01-26,2,3,2
CR0017407,C00000430,2012-03-07,1,3,2
CR0017425,C00004586,2012-03-12,4,3,5
CR0017448,C00002983,2012-03-12,1,3,2
CR0017454,C00002327,2012-03-12,1,3,2
CR0017479,C00002913,2012-03-12,2,3,3
CR0017491,C00003472,2012-03-12,1,3,2
CR0017518,C00003182,2012-03-12,1,3,2
CR0017520,C00002815,2012-03-12,1,3,2
CR0017567,C00004177,2012-03-14,1,3,3
CR0017574,C00001778,2012-03-15,1,3,2
CR0017626,C00009276,2012-03-15,1,3,2
CR0017628,C00001331,2012-03-15,1,3,2
CR0017638,C00000183,2012-03-15,1,3,2
CR0017669,C00001364,2012-03-15,2,3,3
CR0017673,C00001129,2012-03-15,1,3,2
CR0017678,C00001822,2012-03-19,1,3,2
CR0017679,C00001316,2012-03-19,1,3,2
CR0017682,C00000194,2012-03-19,2,3,3
CR0017698,C00003584,2012-03-19,2,3,2
CR0017699,C00004472,2012-03-19,1,3,2
CR0017706,C00000013,2012-03-19,2,3,2
CR0017709,C00003101,2012-03-19,1,3,2
CR0017718,C00004656,2012-03-20,2,3,2
CR0017728,C00004820,2012-03-20,1,3,2
CR0017734,C00000015,2012-03-20,2,3,2
CR0017747,C00003284,2012-03-21,2,3,2
CR0017766,C00009346,2012-03-21,1,3,2
CR0017794,C00004164,2012-03-21,1,3,3
CR0017798,C00004524,2012-03-21,1,3,2
CR0018084,C00003267,2012-01-31,2,2,2
CR0018102,C00004757,2012-01-27,2,3,2
CR0018110,C00003619,2012-01-27,2,1,1
CR0018129,C00002180,2012-01-26,2,3,2
CR0018252,C00002961,2012-01-29,2,2,2
CR0018306,C00005392,2012-01-30,2,2,3
CR0018368,C00003449,2012-01-30,2,3,2
CR0018418,C00004576,2012-01-25,2,3,6
CR0018502,C00003876,2012-01-30,2,2,3
CR0018574,C00004406,2012-01-30,2,1,2
CR0018608,C00013971,2012-01-30,2,4,2
CR0018685,C00003962,2012-01-30,2,2,2
CR0018687,C00000356,2012-01-30,2,2,3
CR0018790,C00002408,2012-01-31,2,2,3
CR0018794,C00002768,2012-01-31,2,2,3
CR0018807,C00004682,2012-01-27,2,3,2
CR0018826,C00000059,2012-01-31,2,3,2
CR0018838,C00004250,2012-01-31,2,3,2
CR0018849,C00000366,2012-01-31,2,3,3
CR0019005,C00001083,2012-01-31,2,3,3
CR0019006,C00003756,2012-01-31,2,1,3
CR0019105,C00003917,2012-03-18,2,2,3
CR0019340,C00003919,2012-02-06,2,2,3
CR0019425,C00009340,2012-02-01,2,3,3
CR0019480,C00006546,2012-01-26,2,3,5
CR0019572,C00003695,2012-02-01,2,1,3
CR0019622,C00001529,2012-02-01,2,2,6
CR0019647,C00003152,2012-02-02,2,2,3
CR0019677,C00002885,2012-02-02,2,3,3
CR0019759,C00001131,2012-02-02,2,3,3
CR0019847,C00012464,2012-02-02,2,2,3
CR0019934,C00003194,2012-02-02,2,2,3
CR0019961,C00001134,2012-02-02,2,3,3
CR0020148,C00004301,2012-02-03,2,3,2
CR0020288,C00001448,2012-02-03,2,1,3
CR0020306,C00001297,2012-02-03,2,2,3
CR0020548,C00002514,2012-02-06,2,3,3
CR0020573,C00001980,2012-02-06,2,2,2
CR0020587,C00005413,2012-02-06,2,3,2
CR0020731,C00002652,2012-02-06,2,2,3
CR0020763,C00004086,2012-03-13,2,3,2
CR0020876,C00000994,2012-02-06,2,1,3
CR0020915,C00002455,2012-02-07,2,2,3
CR0020933,C00005761,2012-02-07,2,2,3
CR0020936,C00009428,2012-02-07,2,2,3
CR0020942,C00003734,2012-02-07,2,2,2
CR0021012,C00001606,2012-02-03,2,3,2
CR0021047,C00003365,2012-02-07,2,2,3
CR0021203,C00003482,2012-02-07,2,2,2
CR0021269,C00002574,2012-02-07,2,3,5
CR0021323,C00000704,2012-02-07,2,3,2
CR0021373,C00002111,2012-02-07,2,2,3
CR0021389,C00004225,2012-02-08,2,2,4
CR0021403,C00001956,2012-02-08,2,2,3
CR0021418,C00005366,2012-03-12,3,2,3
CR0021432,C00002062,2012-02-08,2,3,3
CR0021454,C00001532,2012-02-07,2,3,3
CR0021455,C00000715,2012-02-23,2,1,2
CR0021465,C00003032,2012-02-08,2,2,5
CR0021510,C00001889,2012-02-08,2,2,3
CR0021585,C00000974,2012-02-08,2,2,2
CR0021708,C00002304,2012-02-08,2,1,3
CR0021738,C00004191,2012-02-08,2,2,3
CR0021748,C00003872,2012-02-09,2,2,2
CR0021753,C00002277,2012-02-08,2,1,2
CR0021778,C00003696,2012-02-08,2,3,5
CR0021783,C00000601,2012-02-08,2,2,3
CR0021806,C00003208,2012-02-09,2,2,2
CR0021825,C00003127,2012-02-09,2,2,3
CR0021845,C00000928,2012-02-09,2,3,3
CR0021899,C00001829,2012-02-09,2,2,3
CR0021908,C00002160,2012-02-09,2,2,3
CR0021929,C00006967,2012-02-07,2,3,3
CR0021940,C00013923,2012-02-07,2,3,2
CR0021949,C00004671,2012-02-09,2,3,2
CR0022106,C00001596,2012-02-09,2,1,2
CR0022171,C00000371,2012-02-09,2,2,2
CR0022254,C00004025,2012-02-10,2,2,2
CR0022298,C00004539,2012-02-16,2,3,3
CR0022323,C00003779,2012-02-10,2,3,2
CR0022542,C00000786,2012-03-01,3,2,3
CR0022629,C00003255,2012-02-10,2,3,5
CR0022672,C00000779,2012-02-10,2,2,2
CR0022700,C00002955,2012-02-11,2,2,2
CR0022711,C00013548,2012-02-11,2,2,2
CR0022745,C00004403,2012-02-11,2,2,3
CR0022797,C00003468,2012-02-13,2,2,3
CR0022799,C00001713,2012-02-13,2,2,3
CR0022818,C00004660,2012-02-13,2,2,2
CR0023003,C00003840,2012-02-13,2,2,3
CR0023147,C00006698,2012-02-13,2,2,2
CR0023410,C00004300,2012-02-14,2,3,4
CR0023451,C00013071,2012-02-14,2,1,2
CR0023505,C00000082,2012-02-14,2,2,2
CR0023552,C00003116,2012-02-14,2,1,3
CR0023726,C00000053,2012-02-15,2,2,3
CR0023750,C00001569,2012-02-15,2,1,2
CR0023763,C00000936,2012-02-15,2,3,3
CR0023803,C00001041,2012-02-15,2,3,3
CR0023855,C00003600,2012-02-15,2,2,2
CR0023858,C00005618,2012-02-15,2,3,2
CR0023865,C00004693,2012-02-15,2,2,2
CR0023878,C00001091,2012-02-15,2,1,3
CR0023915,C00003728,2012-02-15,2,2,3
CR0023920,C00002104,2012-02-15,2,2,3
CR0023959,C00003222,2012-02-16,2,2,3
CR0024063,C00002938,2012-03-14,2,4,3
CR0024147,C00002658,2012-02-16,2,1,2
CR0024234,C00004052,2012-02-16,2,2,3
CR0024332,C00001047,2012-02-16,2,2,2
CR0024384,C00004654,2012-02-17,2,2,2
CR0024490,C00004601,2012-02-17,2,3,3
CR0024650,C00002755,2012-02-17,2,3,2
CR0024666,C00002526,2012-02-17,2,2,2
CR0024799,C00002968,2012-02-17,2,2,3
CR0024801,C00001091,2012-02-17,2,2,2
CR0024821,C00011637,2012-02-18,2,3,2
CR0024823,C00003679,2012-04-11,1,2,2
CR0024884,C00000799,2012-02-19,2,3,3
CR0024887,C00001464,2012-02-19,2,2,2
CR0024928,C00000841,2012-04-14,3,2,2
CR0024938,C00000369,2012-02-20,2,3,2
CR0024943,C00002430,2012-02-20,2,2,2
CR0024960,C00001359,2012-02-20,2,2,2
CR0024961,C00004974,2012-02-20,2,2,2
CR0025031,C00013451,2012-02-21,2,2,3
CR0025223,C00000145,2012-02-21,2,2,3
CR0025230,C00011906,2012-02-21,2,1,2
CR0025320,C00003894,2012-04-11,1,2,3
CR0025342,C00004439,2012-02-21,2,2,2
CR0025387,C00009845,2012-02-22,2,2,3
CR0025402,C00002599,2012-02-22,2,2,2
CR0025433,C00000385,2012-02-22,2,2,2
CR0025488,C00000394,2012-03-01,1,2,3
CR0025663,C00001893,2012-02-16,2,3,3
CR0025690,C00002684,2012-02-22,2,3,3
CR0025815,C00003813,2012-02-15,2,3,3
CR0025817,C00004217,2012-02-22,2,2,3
CR0025850,C00004400,2012-02-22,2,2,3
CR0025912,C00002858,2012-02-23,2,2,3
CR0026030,C00003272,2012-02-23,2,3,3
CR0026330,C00006546,2012-02-23,2,2,2
CR0026342,C00003796,2012-02-23,2,2,3
CR0026351,C00002885,2012-02-23,2,2,3
CR0026354,C00009427,2012-02-23,2,2,2
CR0026375,C00001216,2012-02-23,2,2,3
CR0026401,C00000305,2012-02-24,2,2,2
CR0026469,C00000714,2012-02-24,2,2,3
CR0026534,C00001800,2012-02-24,2,3,3
CR0026536,C00003835,2012-02-24,2,2,2
CR0026642,C00004296,2012-02-24,2,2,2
CR0026758,C00002534,2012-02-24,2,2,2
CR0026870,C00003955,2012-04-01,1,2,2
CR0026872,C00000714,2012-04-21,3,2,3
CR0026904,C00004574,2012-02-26,2,2,2
CR0026911,C00004330,2012-02-26,2,2,2
CR0026940,C00001768,2012-02-27,2,2,2
CR0027086,C00001039,2012-02-27,2,1,3
CR0027100,C00000530,2012-02-27,2,2,2
CR0027158,C00004765,2012-03-20,2,2,2
CR0027313,C00002837,2012-02-27,2,3,3
CR0027386,C00001669,2012-02-28,2,2,3
CR0027388,C00005354,2012-02-23,2,3,2
CR0027433,C00004319,2012-02-28,2,2,3
CR0027446,C00001082,2012-02-28,2,3,2
CR0027448,C00003727,2012-02-28,2,2,2
CR0027455,C00002776,2012-02-28,2,3,3
CR0027462,C00003518,2012-02-28,2,3,2
CR0027693,C00003396,2012-03-26,2,6,2
CR0027705,C00001089,2012-04-02,2,3,3
CR0027710,C00004433,2012-03-11,2,3,3
CR0027711,C00001159,2012-04-02,2,3,3
CR0027719,C00007390,2012-03-05,2,3,3
CR0027731,C00000277,2012-03-05,2,3,3
CR0027833,C00000504,2012-02-28,2,2,2
CR0027858,C00003655,2012-02-28,2,2,2
CR0027872,C00003423,2012-02-28,2,2,2
CR0027881,C00003197,2012-02-28,2,2,2
CR0027890,C00003510,2012-02-28,2,2,2
CR0027941,C00003198,2012-03-04,5,2,3
CR0028136,C00003269,2012-02-29,2,2,3
CR0028178,C00004226,2012-02-29,2,3,2
CR0028215,C00001994,2012-05-01,5,3,1
CR0028245,C00004342,2012-02-29,2,1,2
CR0028257,C00004584,2012-05-08,2,1,2
CR0028417,C00003652,2012-02-29,2,2,2
CR0028447,C00000547,2012-02-29,2,2,3
CR0028495,C00009872,2012-02-29,2,3,2
CR0028509,C00000243,2012-02-29,2,3,3
CR0028568,C00003459,2012-02-29,2,3,2
CR0028571,C00003697,2012-02-29,2,3,2
CR0028707,C00001650,2012-03-01,2,3,3
CR0028780,C00000457,2012-03-01,2,3,3
CR0028782,C00000217,2012-03-01,2,3,3
CR0028830,C00004731,2012-03-01,2,3,2
CR0028855,C00005201,2012-03-01,1,2,2
CR0028887,C00001666,2012-03-01,2,2,2
CR0028888,C00003849,2012-03-01,1,2,2
CR0028901,C00002623,2012-03-01,6,2,3
CR0028940,C00004736,2012-03-01,5,2,2
CR0028961,C00003368,2012-03-01,1,2,3
CR0028998,C00003646,2012-03-01,1,3,2
CR0029020,C00004141,2012-03-01,2,2,2
CR0029032,C00004708,2012-03-01,2,3,2
CR0029042,C00001692,2012-03-01,2,3,3
CR0029094,C00001587,2012-03-01,1,2,2
CR0029107,C00002893,2012-03-01,3,2,3
CR0029142,C00002843,2012-03-01,2,2,2
CR0029149,C00001316,2012-03-01,2,2,2
CR0029150,C00000733,2012-03-01,2,1,3
CR0029181,C00005133,2012-03-01,1,2,2
CR0029186,C00001969,2012-03-01,1,2,3
CR0029223,C00000064,2012-03-02,1,2,2
CR0029253,C00000333,2012-03-02,1,2,2
CR0029277,C00004687,2012-03-02,2,2,3
CR0029289,C00005911,2012-03-02,2,2,2
CR0029315,C00001412,2012-03-02,1,2,3
CR0029333,C00011866,2012-03-02,2,3,3
CR0029379,C00004041,2012-03-02,2,3,2
CR0029522,C00001109,2012-03-02,1,2,2
CR0029654,C00004632,2012-03-02,2,2,2
CR0029659,C00000350,2012-03-02,2,2,2
CR0029748,C00002369,2012-03-03,1,2,2
CR0029763,C00004212,2012-03-03,2,2,2
CR0029767,C00001476,2012-03-03,2,2,2
CR0029796,C00001838,2012-03-04,1,2,2
CR0029798,C00002889,2012-03-04,2,2,2
